Epoch,not_aug_IoU :0.50 AP,not_aug_IoU :0.5:0.95 AP,not_aug_train_Classification_Loss,not_aug_train_Regression_Loss,not_aug_train_Total_Loss,not_aug_val_Classification_Loss,not_aug_val_Regression_Loss,not_aug_val_Total_Loss,not_aug_pretrain_train_Classification_Loss,not_aug_pretrain_train_Regression_Loss,not_aug_pretrain_train_Total_Loss,not_aug_pretrain_valid_Classification_Loss,not_aug_pretrain_valid_Regression_Loss,not_aug_pretrain_valid_Total_Loss,aug_1_IoU :0.50 AP,aug1_IoU :0.5:0.95 AP,aug1_train_Classification_Loss,aug1_train_Regression_Loss,aug1_train_Total_Loss,aug1_valid_Classification_Loss,aug1_valid_Regression_Loss,aug1_valid_Total_Loss,aug_2_IoU:0.50,aug2_IoU:0.50:0.95,aug2_train_Classification_Loss,aug2_train_Regression_Loss,aug2_train_Total_Loss,aug2_valid_Classification_Loss,aug2_valid_Regression_Loss,aug2_valid_Total_Loss,aug_3_IoU:0.50,aug3_IoU:0.5:0.95,aug3_train_Classification_Loss,aug3_train_Regression_Loss,aug3_train_Total_Loss,aug3_valid_Classification_Loss,aug3_valid_Regression_Loss,aug3_valid_Total_Loss,"aug_(3,4)_IoU:0.5","aug(3,4)_IoU:0.5:0.95","aug_(3,4)_train_Classification_Loss","aug_(3,4)_train_Regression_Loss","aug_(3,4)_train_Total_Loss","aug_(3,4)_valid_Classification_Loss","aug_(3,4)_valid_Regression_Loss","aug_(3,4)_valid_Total_Loss","aug_(3,5)_transfer:IoU:0.5","aug_(3,5)_transfer:IoU:0.5:0.95","aug_(3,5)_transfer:Train_Classification_Loss","aug_(3,5)_transfer:Train_Regression_Loss","aug_(3,5)_transfer:Train_Total_Loss","aug_(3,5)_transfer:Valid_Classification_Loss","aug_(3,5)_transfer:Valid_Regression_Loss","aug_(3,5)_transfer:Valid_Total_Loss"
1,0.001,0.001,0.632588029,0.784226298,1.616711599,0.720607519,0.797628647,1.518236166,0.183856964,0.234141976,0.405871516,0.441623684,0.455405725,0.897029409,0.008,0.003,0.580626965,0.718834519,1.493909454,0.595087464,0.688972563,1.284060026,0.008,0.003,0.670815527,0.655399263,1.475938975,0.577474798,0.685372105,1.262846903,0.013,0.004,0.761247993,0.77034688,1.515784085,0.508227453,0.657948818,1.166176271,0.012,0.004,0.611558795,0.670506477,1.251784141,0.564407063,0.65150806,1.215915122,0.009,0.003,0.499708474,0.512248397,1.324186713,0.595069501,0.657071326,1.252140827
2,0.002,0.002,0.657909513,0.647978723,1.278112189,0.560425179,0.69973927,1.260164449,0.116540782,0.220540956,0.384333923,0.459327463,0.444615643,0.903943106,0.016,0.006,0.307429165,0.345885694,1.107255774,0.482381667,0.591962067,1.074343734,0.016,0.006,0.46538195,0.620191574,1.091263642,0.485241838,0.587829161,1.073070998,0.016,0.007,0.374424815,0.704620123,1.17796857,0.620740706,0.537137396,1.157878102,0.019,0.007,0.234242618,0.298867404,0.801303063,0.483853747,0.553624234,1.037477981,0.02,0.007,0.454945117,0.542859852,0.844478287,0.490140065,0.561203057,1.051343122
3,0.007,0.004,0.344900489,0.585862517,1.103674047,0.504239526,0.631117393,1.135356919,0.121593438,0.170310616,0.366620964,0.458454875,0.446721714,0.905176588,0.021,0.009,0.465499163,0.550529957,0.926608498,0.466654298,0.533777781,1.000432079,0.02,0.008,0.414213717,0.600772142,0.897413736,0.453666558,0.545104605,0.998771163,0.02,0.009,0.658016145,0.605870128,1.02388476,0.492269548,0.503032222,0.99530177,0.023,0.009,0.434577733,0.466101825,0.622502246,0.487426575,0.522126094,1.009552669,0.021,0.009,0.379075706,0.525112033,0.655825261,0.487373749,0.521160592,1.00853434
4,0.012,0.006,0.455563605,0.490652293,0.961503611,0.492019856,0.585771146,1.077791002,0.145933077,0.270918638,0.358040442,0.467977795,0.444832897,0.912810692,0.021,0.01,0.369427949,0.447890282,0.811173928,0.453302056,0.5073698,0.960671855,0.022,0.009,0.308699071,0.427332878,0.773120915,0.450527875,0.509042341,0.959570216,0.024,0.01,0.26062277,0.36152795,0.899265327,0.462392796,0.464815222,0.927208018,0.025,0.011,0.161679894,0.361755073,0.533042775,0.468408986,0.511418317,0.979827304,0.022,0.01,0.085968651,0.095038854,0.550032234,0.492693029,0.500500619,0.993193648
5,0.016,0.007,0.372394264,0.522713602,0.881960974,0.464284122,0.563586873,1.027870995,0.127552524,0.176511467,0.34310089,0.472360139,0.445405648,0.917765787,0.025,0.011,0.218109861,0.274191558,0.734777602,0.426756676,0.492694948,0.919451624,0.023,0.01,0.165147975,0.233204335,0.701779888,0.42461679,0.479728719,0.904345509,0.025,0.012,0.182949543,0.230569392,0.812412931,0.446389326,0.453507877,0.899897203,0.028,0.013,0.033373058,0.107366599,0.459173916,0.456374143,0.476441991,0.932816134,0.026,0.01,0.153559089,0.276095062,0.470891605,0.488103364,0.490430788,0.978534151
6,0.019,0.009,0.499768436,0.357578427,0.81227635,0.483731295,0.546153705,1.029885,0.137531072,0.247316346,0.32696731,0.487781092,0.443790075,0.931571167,0.025,0.011,0.271481395,0.408669323,0.673466483,0.430359309,0.485703372,0.916062681,0.026,0.012,0.217425182,0.35043633,0.630219891,0.429968686,0.468813303,0.898781989,0.028,0.013,0.246856749,0.334811628,0.753104524,0.417328541,0.43600624,0.853334781,0.032,0.015,0.02066963,0.107365929,0.406896047,0.496391848,0.479084723,0.975476571,0.03,0.013,0.352752626,0.154608667,0.421320563,0.447779045,0.456909096,0.904688141
7,0.02,0.009,0.224845022,0.264131993,0.754078397,0.447989588,0.529368984,0.977358571,0.124838129,0.214294434,0.318333991,0.483439627,0.446333915,0.929773542,0.026,0.012,0.27889204,0.316928744,0.6237424,0.452426291,0.483000792,0.935427083,0.027,0.012,0.278137445,0.364270508,0.578505592,0.428930689,0.459760059,0.888690748,0.027,0.014,0.120779127,0.165315256,0.689651158,0.445929975,0.429454699,0.875384674,0.037,0.018,0.113192722,0.284038186,0.363196354,0.468841512,0.463925104,0.932766616,0.029,0.013,0.050163068,0.063355312,0.383762194,0.480959153,0.450247928,0.931207081
8,0.025,0.01,0.23239243,0.301978379,0.712716553,0.436499823,0.512464833,0.948964657,0.080828488,0.188172728,0.309983443,0.472894992,0.442255179,0.91515017,0.03,0.014,0.259563684,0.321077675,0.571907923,0.420627337,0.454446349,0.875073686,0.029,0.013,0.314063668,0.369099289,0.537299783,0.424237314,0.453554709,0.877792023,0.031,0.015,0.322446048,0.528252661,0.640169294,0.453905608,0.421926809,0.875832416,0.032,0.015,0.282011479,0.426609993,0.331043975,0.513779096,0.449454913,0.96323401,0.035,0.015,0.151848942,0.302138329,0.342785059,0.492435385,0.443686294,0.936121678
9,0.023,0.01,0.341831923,0.468028188,0.668416589,0.435594865,0.510815617,0.946410482,0.080824271,0.195111737,0.301785031,0.52498355,0.470785892,0.995769442,0.031,0.014,0.243882,0.37611419,0.53277086,0.421759188,0.446025805,0.867784993,0.03,0.014,0.168997869,0.254379094,0.501494793,0.427854168,0.44687809,0.874732258,0.033,0.016,0.091068991,0.165584743,0.587842795,0.460236376,0.42011087,0.880347246,0.032,0.017,0.206696898,0.255784571,0.305669361,0.517197074,0.433056323,0.950253397,0.032,0.015,0.048609592,0.145351917,0.316772303,0.487561249,0.448331629,0.935892878
10,0.024,0.011,0.290433466,0.427434683,0.629926643,0.446696716,0.498906639,0.945603355,0.053022243,0.136360273,0.298492694,0.506732336,0.431370347,0.938102683,0.032,0.015,0.229137421,0.34503597,0.501265267,0.449593596,0.441084291,0.890677887,0.032,0.015,0.21066986,0.320695281,0.470411206,0.441827928,0.450876461,0.89270439,0.034,0.016,0.081780732,0.114698254,0.559734039,0.449022719,0.416166045,0.865188764,0.039,0.018,0.098391056,0.146372527,0.282330568,0.4791763,0.444313883,0.923490183,0.029,0.014,0.00526733,0.09342555,0.292306695,0.687382873,0.446105954,1.133488827
11,0.026,0.01,0.238869935,0.256916821,0.585524816,0.42028773,0.499537262,0.919824991,0.152837723,0.227488458,0.291426623,0.554636884,0.436717713,0.991354597,0.034,0.016,0.100403458,0.110301331,0.474689507,0.451980141,0.440724132,0.892704273,0.033,0.015,0.28814739,0.401723653,0.438017941,0.448600954,0.446764238,0.895365192,0.034,0.016,0.22866945,0.37033987,0.525236483,0.440782887,0.420193631,0.860976518,0.038,0.019,0.006304764,0.093592264,0.266635218,0.655840302,0.443218488,1.09905879,0.041,0.019,0.057200536,0.143123627,0.272723086,0.477237839,0.413239982,0.890477821
12,0.025,0.011,0.139816433,0.216589347,0.562073273,0.457253791,0.491863667,0.949117458,0.056943469,0.13734898,0.288158349,0.492573401,0.438104502,0.930677903,0.031,0.014,0.103000358,0.19238846,0.450058303,0.436180876,0.438129101,0.874309977,0.033,0.015,0.1381675,0.190238774,0.415749642,0.460579718,0.435193347,0.895773065,0.034,0.017,0.233927786,0.217573643,0.502156597,0.504978003,0.418658832,0.923636835,0.041,0.019,0.010271073,0.070614606,0.24778128,0.488043627,0.427932628,0.915976255,0.038,0.019,0.173012003,0.11370565,0.255979718,1.018914909,0.424154781,1.44306969
13,0.025,0.01,0.352785587,0.396232188,0.540688406,0.516781203,0.496910409,1.013691611,0.094166882,0.168647707,0.273246006,0.527115809,0.436574688,0.963690497,0.034,0.017,0.113347635,0.211140126,0.422566727,0.446449422,0.438370339,0.88481976,0.035,0.017,0.166545838,0.215859085,0.392466238,0.446470726,0.443297204,0.88976793,0.038,0.02,0.20719552,0.334201813,0.47456707,0.416651246,0.413456618,0.830107865,0.044,0.023,0.079176262,0.216576159,0.228361828,0.520059409,0.413621665,0.933681074,0.038,0.019,0.020794302,0.119563781,0.243590097,0.528873246,0.421132241,0.950005488
14,0.024,0.012,0.289424896,0.359745681,0.510313671,0.460031112,0.470524336,0.930555448,0.11802727,0.281247616,0.268048698,0.569856406,0.437479461,1.007335868,0.035,0.017,0.120882034,0.190410927,0.401589201,0.445717236,0.42995158,0.875668815,0.036,0.018,0.108621553,0.228726417,0.370125717,0.455658392,0.427168167,0.882826558,0.039,0.02,0.226758346,0.304412842,0.444421582,0.49170032,0.405842237,0.897542557,0.04,0.02,0.076976299,0,0.215482297,0.512354011,0.416370525,0.928724536,0.043,0.022,0.126939714,0.225334704,0.227157839,0.492819964,0.411944528,0.904764493
15,0.026,0.012,0.209922463,0.342251867,0.492855897,0.456950489,0.468618058,0.925568547,0.077973843,0.19779636,0.258189277,0.535456762,0.433176506,0.968633268,0.036,0.017,0.142623514,0.254197329,0.377875332,0.461588941,0.439374518,0.90096346,0.035,0.017,0.13940686,0.219229445,0.350519677,0.499756353,0.431432267,0.931188621,0.042,0.021,0.18008092,0.297560364,0.430071363,0.404328997,0.405566803,0.8098958,0.048,0.024,0.199280381,0.270973951,0.206478579,0.480741896,0.421964283,0.902706178,0.043,0.021,0.022248171,0.160263002,0.213461011,0.4816197,0.408887901,0.890507601
16,0.026,0.011,0.198845327,0.389891624,0.4758876,0.430416428,0.493052896,0.923469325,0.060158446,0.149427608,0.262992818,0.538406558,0.43638927,0.974795828,0.041,0.02,0.08108902,0.149446264,0.365462705,0.445885578,0.428738019,0.874623598,0.037,0.017,0.115153685,0.213541836,0.325458081,0.483669857,0.444784023,0.92845388,0.047,0.024,0.28054136,0.45591259,0.403420234,0.467357411,0.400442744,0.867800156,0.044,0.023,0.025127441,0.085057043,0.198381541,0.492599079,0.408615222,0.9012143,0.041,0.02,0.005839078,0.081514716,0.203944749,0.576778053,0.407484082,0.984262135
17,0.027,0.012,0.151362151,0.222735927,0.45091238,0.436530106,0.477453403,0.91398351,0.06178223,0.173225701,0.248225846,0.517674328,0.434442073,0.952116401,0.039,0.019,0.111704662,0.172289431,0.348107224,0.427512974,0.430327748,0.857840722,0.036,0.017,0.122183293,0.248232991,0.312459057,0.483739387,0.433054665,0.916794053,0.044,0.022,0.048659202,0.108180158,0.39475043,0.478786962,0.406784738,0.8855717,0.046,0.026,0.234956622,0.479809582,0.184485607,0.501746592,0.406044286,0.907790878,0.042,0.021,0.001219431,0.053664103,0.193432379,0.592250902,0.430964892,1.023215795
