Epoch,base_IoU 0.5,base_IoU 0.5:0.95,base_Train_Classification_Loss,base_Train_Regression_Loss,base_Train_Total_Loss,base_Valid_Classification_Loss,base_Valid_Regression_Loss,base_Valid_Total_Loss,augment1:IoU:0.5,augment1:IoU 0.5:0.95,augment1:Train_Classification_Loss,augment1:Train_Regression_Loss,augment1:Train_Total_Loss,augment1:Valid_Classification_Loss,augment1:Valid_Regression_Loss,augment1:Valid_Total_Loss,aug2_IoU:0.5,aug2_IoU05.5:0.95,aug2_Train_Classification_Loss,aug2_Train_Regression_Loss,aug2_Train_Total_Loss,aug2_Valid_Classification_Loss,aug2_Valid_Regression_Loss,aug2_Valid_Total_Loss,augment3:IoU:0.5,augment3:IoU:0.5:0.95,augment3:Train_Classification_Loss,augment3:Train_Regression_Loss,augment3:augment3_Train_Total_Loss,augment3_Valid_Classification_Loss,augment3_Valid_Regression_Loss,augment3_Valid_Total_Loss,"augment_(3,4)_IoU:0.5","augment_(3,4)_IoU:0.5:0.95","augment_(3,4)_Train_Classification_Loss","augment_(3,4)_Train_Regression_Loss","augment_(3,4)_Train_Total_Loss","augment_(3,4)_Valid_Classification_Loss","augment_(3,4)_Valid_Regression_Loss","augment_(3,4)_Valid_Total_Loss","augment_(3,5 with transfer)_IoU:0.5","augment_(3,5 with transfer)_IoU:0.5:0.95","augment_(3,5 with transfer)_Train_Classification_Loss","augment_(3,5 with transfer)_Train_Regression_Loss","augment_(3,5 with transfer)_Train_Total_Loss","augment_(3,5 with transfer)_Valid_Classification_Loss","augment_(3,5 with transfer)_Valid_Regression_Loss","augment_(3,5 with transfer)_Valid_Total_Loss"
1,0.028,0.01,0.42659685,0.695730984,1.685701062,0.596234442,0.736992182,1.333226624,0.047,0.018,0.446150303,0.71265018,1.601325477,0.512985522,0.623222894,1.136208416,0.047,0.018,0.518696249,0.695713162,1.557204782,0.572550149,0.619435281,1.19198543,0.023,0.009,1.669060111,0.726418793,2.386830472,0.791051326,0.690812675,1.481864001,0.032,0.013,0.344892085,0.449366778,1.37718807,0.674535947,0.674214948,1.348750895,0.098,0.048,0.129907712,0.17680721,0.603916715,1.094409142,0.492069347,1.586478489
2,0.053,0.023,0.252616376,0.418890417,1.248642236,0.499576887,0.59414078,1.093717667,0.068,0.032,0.278981,0.354635566,1.05410106,0.364078298,0.500291873,0.864370171,0.072,0.033,0.322517514,0.47451815,1.107126843,0.375620147,0.509654294,0.885274441,0.055,0.024,0.424366713,0.446063995,1.695017265,0.456519038,0.549163822,1.00568286,0.053,0.026,0.224453315,0.248684973,0.80302258,0.767998995,0.576369359,1.344368354,0.092,0.046,0.071526162,0.138502106,0.415577227,1.263763406,0.496633533,1.76039694
3,0.058,0.026,0.533395529,0.795814097,1.071282446,0.427465262,0.567632985,0.995098248,0.082,0.04,0.349399775,0.414447844,0.823454607,0.350649836,0.460897855,0.811547691,0.081,0.039,0.280675262,0.407223403,0.842929196,0.326358251,0.475330511,0.801688761,0.019,0.007,0,0,1.214079475,1.098225312,0.724185045,1.822410356,0.051,0.025,0.066188455,0.150838181,0.574736806,1.455804737,0.574129371,2.029934108,0.131,0.07,0.06594374,0.203181505,0.330031367,0.354997914,0.425009967,0.780007881
4,0.074,0.034,0.250982761,0.400294662,0.87896927,0.426286668,0.513851661,0.940138329,0.098,0.048,0.363525748,0.468303621,0.685934507,0.318313997,0.461580779,0.779894775,0.089,0.045,0.203014985,0.33507973,0.699196104,0.374607845,0.455557278,0.830165123,0.009,0.003,0,0,1.128722661,2.006010149,0.947710767,2.953720916,0.106,0.055,0.349966317,0.417052507,0.446607184,0.344257791,0.453194403,0.797452195,0.112,0.061,0.028234752,0.108991601,0.276277372,0.572074193,0.440881853,1.012956046
5,0.085,0.041,0.236116171,0.29905206,0.762771072,0.354284046,0.482070161,0.836354206,0.102,0.053,0.227906421,0.344778597,0.589802034,0.31046384,0.426049571,0.736513411,0.111,0.056,0.221095294,0.357701957,0.605707925,0.324448624,0.444525128,0.768973752,0.041,0.016,0.326851159,0.527634621,1.105014354,0.949191787,0.557356568,1.506548355,0.107,0.056,0.041232102,0.193515509,0.366736594,0.392560896,0.45225746,0.844818356,0.145,0.08,0.110802516,0.247126803,0.240639253,0.415507568,0.420678697,0.836186265
6,0.082,0.04,0.245693952,0.328260124,0.687207892,0.382705098,0.487638838,0.870343936,0.111,0.058,0.117604814,0.303721845,0.5153744,0.311343667,0.419924115,0.731267782,0.118,0.06,0.116574883,0.234756231,0.524325942,0.331963015,0.442117387,0.774080402,0.089,0.043,0.336572856,0.443802506,1.025451281,0.397223393,0.458680514,0.855903907,0.093,0.048,0.01464079,0.097029172,0.311334704,0.984235184,0.502433481,1.486668664,0.149,0.081,0.077102654,0.154170722,0.218636284,0.405468249,0.415566244,0.821034493
7,0.094,0.046,0.165270954,0.247127622,0.6058885,0.409455015,0.468772043,0.878227059,0.127,0.066,0.226658657,0.267045826,0.459878784,0.300447131,0.412596038,0.713043169,0.125,0.064,0.106360622,0.216064781,0.467170676,0.403528651,0.426351473,0.829880123,0.089,0.045,0.124842525,0.222255826,0.903183487,0.441153926,0.456914868,0.898068794,0.125,0.068,0.207699433,0.330310673,0.27342961,0.410275817,0.444242175,0.854517992,0.124,0.068,0.006439783,0.077890538,0.196935711,0.778319429,0.430307304,1.208626734
8,0.102,0.05,0.200338319,0.339097738,0.55300136,0.345357703,0.462529263,0.807886966,0.129,0.07,0.100915805,0.230614156,0.420213423,0.321840364,0.410606533,0.732446897,0.138,0.072,0.098301448,0.259725064,0.428808692,0.336224371,0.419669621,0.755893992,0.009,0.003,0.209283739,0.516978443,0.825993203,1.853606461,0.948505222,2.802111684,0.085,0.048,0.006705139,0.068316035,0.247863546,1.068923148,0.485307844,1.554230992,0.147,0.08,0.201243162,0.44898057,0.181025846,0.440530429,0.408069598,0.848600028
9,0.109,0.054,0.110725716,0.240637898,0.506550227,0.368059973,0.455024319,0.823084292,0.143,0.077,0.191690862,0.250728935,0.37822314,0.347402505,0.41250476,0.759907264,0.131,0.07,0.053752318,0.171416566,0.390161027,0.383286232,0.419360952,0.802647184,0.107,0.053,0.239482,0.223105967,0.871754062,0.380527416,0.448030228,0.828557644,0.122,0.065,0.175618872,0.199182644,0.225504935,0.514365979,0.445348792,0.959714771,0.123,0.067,0.001085664,0.045656614,0.16744087,0.891426054,0.444463129,1.335889182
10,0.102,0.051,0.122247241,0.226808637,0.473931329,0.360032506,0.442915292,0.802947798,0.141,0.077,0.078701571,0.204875588,0.345507806,0.348349862,0.404938836,0.753288698,0.144,0.076,0.056520622,0.218077034,0.351993793,0.376410993,0.424653497,0.80106449,0.014,0.005,0.267567366,0.347362787,1.012966202,2.005229269,0.71275238,2.717981649,0.076,0.044,0.001679894,0.069684498,0.203042896,1.295947794,0.498130172,1.794077966,0.156,0.088,0.046880331,0.216231227,0.159015583,0.519691114,0.415589536,0.93528065
11,0.121,0.06,0.178734437,0.28182146,0.442662294,0.335238188,0.445433035,0.780671223,0.146,0.081,0.076561719,0.176166728,0.317652904,0.345531334,0.405066009,0.750597343,0.145,0.078,0.063099265,0.206161663,0.325156277,0.373954283,0.418111782,0.792066065,0.106,0.053,0.071960852,0.14731665,0.832593387,0.420414063,0.464492951,0.884907014,0.072,0.041,0.002144957,0.051602077,0.190716939,1.268319546,0.507206268,1.775525814,0.164,0.093,0.052576978,0.194378331,0.146903185,0.511829475,0.405035476,0.916864951
12,0.121,0.06,0.105927467,0.200220406,0.410729646,0.35024126,0.452961502,0.803202762,0.15,0.08,0.127117649,0.232277453,0.294433048,0.355842462,0.411068227,0.766910689,0.152,0.083,0.170662016,0.370004386,0.301693378,0.404366344,0.411515504,0.815881849,0.122,0.063,0.170367852,0.218532965,0.845188171,0.421735427,0.437221833,0.85895726,0.137,0.075,0.060907234,0.186128721,0.175295014,0.4558359,0.426555751,0.882391651,0.118,0.066,0.002093202,0.043905422,0.138367656,1.118437558,0.455050243,1.573487801
13,0.124,0.063,0.127495736,0.110429578,0.386965078,0.350532938,0.448500296,0.799033234,0.149,0.083,0.032132581,0.154635221,0.271360046,0.375150729,0.404015167,0.779165896,0.153,0.082,0.088840589,0.258723319,0.282041789,0.438486831,0.411886367,0.850373198,0.007,0.002,0.166056439,0.269948721,0.73107626,2.014201791,0.777556718,2.79175851,0.145,0.08,0.075092942,0.190344438,0.164264212,0.42653112,0.415023182,0.841554302,0.164,0.094,0.095343262,0.192810088,0.131620239,0.534526243,0.403082046,0.937608288
14,0.123,0.062,0.048244163,0.150247484,0.372064033,0.375938871,0.444825037,0.820763907,0.141,0.078,0.093500912,0.257512569,0.252406724,0.431071287,0.400204403,0.83127569,0.154,0.083,0.04101447,0.169691116,0.261531728,0.455944742,0.418690634,0.874635376,0.032,0.012,0.102131233,0.233871698,0.628473176,1.869819379,0.505917701,2.37573708,0.135,0.078,0.023165667,0.164058954,0.152908054,0.512177311,0.439712684,0.951889995,0.119,0.068,0.000256169,0.037571147,0.123520555,0.930525855,0.43615957,1.366685425
15,0.138,0.069,0.203428745,0.345006257,0.347119049,0.36803143,0.440880915,0.808912345,0.161,0.091,0.027911663,0.115019605,0.24381763,0.380308427,0.39902582,0.779334248,0.149,0.083,0.061629735,0.161213323,0.248742626,0.444131376,0.408253614,0.85238499,0.127,0.067,0.068818457,0.210715428,0.611614482,0.45379889,0.425917602,0.879716492,0.143,0.082,0.124012396,0.239927635,0.144954941,0.502223133,0.430188358,0.932411491,0.111,0.063,0.00194745,0.032303534,0.117957498,1.237630969,0.438214302,1.675845271
