no_aug_IoU:0.5,no_aug_IoU:0.5:0.95,no_aug_Average of Classification_Loss,no_aug_Average of Regression_Loss,no_aug_Average of Running_Loss,aug1_IoU :0.5,aug1_IoU:0.5:0.95,aug1_Average of Running_Loss,aug1_Average of Regression_Loss,aug1_Average of Classification_Loss,aug2_IoU:0.5,aug2_IoU:0.5:0.95,aug2_Average of Classification_Loss,aug2_Average of Regression_Loss,aug2_Average of Running_Loss,aug3_IoU 0.50,aug3_IoU 0.5:0.95 area all,aug3_Average of Classification_Loss,aug3_Average of Regression_Loss,aug3_Average of Running_Loss,"aug(3,4)_IoU:0.5","aug(3,4)_IoU 0.5:0.95","aug(3,4)_Average of Running_Loss","aug(3,4)_Average of Classification_Loss","aug(3,4)_Average of Regression_Loss","aug(3,5)_IoU:0.5","aug(3,5)_IoU :0.5:0.95","aug(3,5)_IoU_Average of Regression_Loss","aug(3,5)_IoU_Average of Classification_Loss","aug(3,5)_IoU_Average of Running_Loss"
0.036,0.013,0.8813079,1.017150491,2.742553294,0.045,0.02,1.935748331,0.883403987,0.724425189,0.055,0.024,0.666765667,0.850931823,1.835134778,0.008,0.004,0.968569219,0.745360166,1.863888226,0.073,0.034,1.524948501,0.549643821,0.717081022,0.072,0.034,0.642118531,0.742961258,1.612033603
0.046,0.015,0.389099821,0.576536804,2.230269141,0.055,0.029,1.491419405,0.603041612,0.363802001,0.065,0.031,0.49590826,0.584489167,1.373764283,0.039,0.012,0.822932318,0.545138637,1.690537825,0.096,0.05,0.761614855,0.329212487,0.490505433,0.106,0.054,0.339711696,0.218626779,0.813269574
0.071,0.032,0.469769239,0.623826921,1.763144553,0.076,0.039,1.268661631,0.442428716,0.287343342,0.089,0.042,0.401585422,0.5780062,1.193573561,0.057,0.023,0.771261536,0.513500117,1.545903747,0.127,0.07,0.540124517,0.111027509,0.247354296,0.123,0.065,0.309176439,0.168989225,0.566127829
0.087,0.041,0.256967157,0.434943482,1.513915257,0.091,0.049,1.012557463,0.443431392,0.366798759,0.099,0.049,0.293201908,0.399689317,0.984401825,0.068,0.03,0.567016713,0.42020686,1.373363879,0.138,0.076,0.436229374,0.370091398,0.316496846,0.13,0.07,0.191500551,0.149046751,0.432430056
0.078,0.039,0.322770327,0.427400544,1.342149495,0.099,0.05,0.836863774,0.395368956,0.29499235,0.1,0.049,0.327068083,0.43151924,0.833124515,0.064,0.03,0.596966237,0.441101067,1.221865821,0.161,0.094,0.347013554,0.073446858,0.177932438,0.163,0.092,0.204811034,0.109618599,0.377786987
0.092,0.045,0.382138908,0.463115215,1.225372984,0.115,0.06,0.735858593,0.366489038,0.242790431,0.126,0.064,0.306097597,0.500727698,0.739550436,0.077,0.035,0.410799883,0.370954506,1.121220969,0.168,0.094,0.309791,0.083215307,0.182150227,0.166,0.095,0.206932978,0.109055597,0.334132906
0.112,0.057,0.27488184,0.427510619,0.919001405,0.127,0.068,0.657960658,0.303939171,0.204228671,0.126,0.064,0.28005993,0.451287098,0.657353443,0.084,0.039,0.402416483,0.461348675,1.014978707,0.177,0.1,0.274654437,0.040487889,0.131463675,0.181,0.102,0.13513363,0.048153354,0.285779397
0.119,0.059,0.181359604,0.263906568,0.79781907,0.143,0.077,0.596430644,0.303202212,0.183465615,0.133,0.071,0.221492901,0.407693297,0.595399478,0.09,0.044,0.256794659,0.384736517,0.907522537,0.177,0.101,0.254160121,0.069135881,0.170323259,0.194,0.111,0.155196877,0.037835538,0.269937663
0.144,0.074,0.17378924,0.336097091,0.69658789,0.142,0.077,0.541772151,0.287844781,0.161949813,0.153,0.082,0.17271108,0.340757675,0.539218238,0.1,0.049,0.391135827,0.447711878,0.822548817,0.193,0.114,0.228247368,0.038638317,0.134747401,0.195,0.111,0.152070531,0.040634263,0.234783418
0.13,0.067,0.168004364,0.256007969,0.631358495,0.154,0.084,0.494977674,0.274080854,0.186145633,0.158,0.086,0.162983567,0.271488421,0.485809462,0.099,0.047,0.213598479,0.323424615,0.743328801,0.203,0.118,0.204821368,0.030848757,0.107473038,0.207,0.123,0.219271317,0.097786111,0.215325372
0.14,0.072,0.199978076,0.318485796,0.579981272,0.159,0.089,0.454507587,0.213853009,0.127831681,0.174,0.094,0.114703398,0.217505094,0.443129788,0.112,0.055,0.274202343,0.246231191,0.68915874,0.202,0.119,0.191171554,0.025118277,0.088405686,0.212,0.123,0.145059095,0.045518912,0.206010872
0.154,0.08,0.195599645,0.378335491,0.535119796,0.182,0.101,0.418595087,0.178990886,0.083141223,0.177,0.099,0.140529115,0.28429202,0.403583578,0.107,0.054,0.139706787,0.225282937,0.623649723,0.216,0.123,0.17446641,0.04760636,0.122446463,0.213,0.121,0.085398319,0.015162886,0.18321887
0.161,0.087,0.116385438,0.239093289,0.489937605,0.195,0.109,0.380796276,0.249892995,0.102658675,0.173,0.093,0.087632116,0.215539433,0.377986257,0.132,0.064,0.298878264,0.29058706,0.588717201,0.204,0.118,0.160447444,0.03053584,0.155119526,0.206,0.12,0.151841561,0.053299082,0.171216508
0.166,0.089,0.148285016,0.250649281,0.453285117,0.182,0.098,0.344476967,0.163501181,0.061898773,0.179,0.099,0.067526133,0.21588856,0.344561528,0.142,0.073,0.132540798,0.177249119,0.545365088,0.209,0.123,0.14962868,0.017186753,0.10808976,0.212,0.121,0.116118243,0.01839056,0.155531634
0.159,0.085,0.077578977,0.190058656,0.420633458,0.177,0.097,0.317252891,0.225757968,0.090218894,0.198,0.113,0.082512882,0.262468904,0.319262986,0.132,0.066,0.148834532,0.295699991,0.509045018,0.217,0.128,0.142254576,0.032171973,0.11066398,0.198,0.116,0.099546957,0.035271202,0.150926327
