no_augment:noepoch,no_augment:gpu_mem,no_augment:train_giou_loss,no_augment:train_obj_loss,no_augment:train_cls_loss,no_augment:total,no_augment:targets,no_augment:size,no_augment:precision,no_augment:recall,no_augment:map:0.5,no_augment:F1,no_augment:val_giou_loss,no_augment:val_obj_loss,no_augment:val_cls_loss,augment1:epoch,augment1:gpu_mem,augment1:train_giou_loss,augment1:train_obj_loss,augment1:train_cls_loss,augment1:total,augment1:targets,augment1:size,augment1:precision,augment1:recall,augment1:map:0.5,augment1:F1,augment1:val_giou_loss,augment1:val_obj_loss,augment1:val_cls_loss,augment2:epoch,augment2:gpu_mem,augment2:train_giou_loss,augment2:train_obj_loss,augment2:train_cls_loss,augment2:total,augment2:targets,augment2:size,augment2:precision,augment2:recall,augment2:map:0.5,augment2:F1,augment2:val_giou_loss,augment2:val_obj_loss,augment2:val_cls_loss,augment3:epoch,augment3:gpu_mem,augment3:train_giou_loss,augment3:train_obj_loss,augment3:train_cls_loss,augment3:total,augment3:targets,augment3:size,augment3:precision,augment3:recall,augment3:map:0.5,augment3:F1,augment3:val_giou_loss,augment3:val_obj_loss,augment3:val_cls_loss,"augment(3,4):epoch","augment(3,4):gpu_mem","augment(3,4):train_giou_loss","augment(3,4):train_obj_loss","augment(3,4):train_cls_loss","augment(3,4):total","augment(3,4):targets","augment(3,4):size","augment(3,4):precision","augment(3,4):recall","augment(3,4):map:0.5","augment(3,4):F1","augment(3,4):val_giou_loss","augment(3,4):val_obj_loss","augment(3,4):val_cls_loss","augment(3,5):epoch","augment(3,5):gpu_mem","augment(3,5):train_giou_loss","augment(3,5):train_obj_loss","augment(3,5):train_cls_loss","augment(3,5):total","augment(3,5):targets","augment(3,5):size","augment(3,5):precision","augment(3,5):recall","augment(3,5):map:0.5","augment(3,5):F1","augment(3,5):val_giou_loss","augment(3,5):val_obj_loss","augment(3,5):val_cls_loss","augment(3,5)_transfer:epoch","augment(3,5)_transfer:gpu_mem","augment(3,5)_transfer:train_giou_loss","augment(3,5)_transfer:train_obj_loss","augment(3,5)_transfer:train_cls_loss","augment(3,5)_transfer:total","augment(3,5)_transfer:targets","augment(3,5)_transfer:size","augment(3,5)_transfer:precision","augment(3,5)_transfer:recall","augment(3,5)_transfer:map:0.5","augment(3,5)_transfer:F1","augment(3,5)_transfer:val_giou_loss","augment(3,5)_transfer:val_obj_loss","augment(3,5)_transfer:val_cls_loss","augment(3,4)_with base transfer:epoch","augment(3,4)_with base transfer:gpu_mem","augment(3,4)_with base transfer:train_giou_loss","augment(3,4)_with base transfer:train_obj_loss","augment(3,4)_with base transfer:train_cls_loss","augment(3,4)_with base transfer:total","augment(3,4)_with base transfer:targets","augment(3,4)_with base transfer:size","augment(3,4)_with base transfer:precision","augment(3,4)_with base transfer:recall","augment(3,4)_with base transfer:map:0.5","augment(3,4)_with base transfer:F1","augment(3,4)_with base transfer:val_giou_loss","augment(3,4)_with base transfer:val_obj_loss","augment(3,4)_with base transfer:val_cls_loss",augment_blur_with_base_transfer:epoch,augment_blur_with_base_transfer:gpu_mem,augment_blur_with_base_transfer:train_giou_loss,augment_blur_with_base_transfer:train_obj_loss,augment_blur_with_base_transfer:train_cls_loss,augment_blur_with_base_transfer:total,augment_blur_with_base_transfer:targets,augment_blur_with_base_transfer:size,augment_blur_with_base_transfer:precision,augment_blur_with_base_transfer:recall,augment_blur_with_base_transfer:map:0.5,augment_blur_with_base_transfer:F1,augment_blur_with_base_transfer:val_giou_loss,augment_blur_with_base_transfer:val_obj_loss,augment_blur_with_base_transfer:val_cls_loss,"augment (blur)+(3,4_best)_transfer:epoch","augment (blur)+(3,4_best)_transfer:gpu_mem","augment (blur)+(3,4_best)_transfer:train_giou_loss","augment (blur)+(3,4_best)_transfer:train_obj_loss","augment (blur)+(3,4_best)_transfer:train_cls_loss","augment (blur)+(3,4_best)_transfer:total","augment (blur)+(3,4_best)_transfer:targets","augment (blur)+(3,4_best)_transfer:size","augment (blur)+(3,4_best)_transfer:precision","augment (blur)+(3,4_best)_transfer:recall","augment (blur)+(3,4_best)_transfer:map:0.5","augment (blur)+(3,4_best)_transfer:F1","augment (blur)+(3,4_best)_transfer:val_giou_loss","augment (blur)+(3,4_best)_transfer:val_obj_loss","augment (blur)+(3,4_best)_transfer:val_cls_loss",all_blur_epoch,all_blur_gpu_mem,all_blur_train_giou_loss,all_blur_train_obj_loss,all_blur_train_cls_loss,all_blur_total,all_blur_targets,all_blur_size,all_blur_precision,all_blur_recall,all_blur_map:0.5,all_blur_F1,all_blur_val_giou_loss,all_blur_val_obj_loss,all_blur_val_cls_loss,all_blur_with_best_yolov3_transfer_epoch,all_blur_with_best_yolov3_transfer_gpu_mem,all_blur_with_best_yolov3_transfer_train_giou_loss,all_blur_with_best_yolov3_transfer_train_obj_loss,all_blur_with_best_yolov3_transfer_train_cls_loss,all_blur_with_best_yolov3_transfer_total,all_blur_with_best_yolov3_transfer_targets,all_blur_with_best_yolov3_transfer_size,all_blur_with_best_yolov3_transfer_precision,all_blur_with_best_yolov3_transfer_recall,all_blur_with_best_yolov3_transfer_map:0.5,all_blur_with_best_yolov3_transfer_F1,all_blur_with_best_yolov3_transfer_val_giou_loss,all_blur_with_best_yolov3_transfer_val_obj_loss,all_blur_with_best_yolov3_transfer_val_cls_loss
0/14,6.47G,5.51,3.13,3.29,11.9,107,1.06E+03,0.189,0.0414,0.0339,0.0435,5.73,2.9,2.38,0/14,6.47G,5.06,2.68,2.93,10.7,87,1.06E+03,0.136,0.195,0.125,0.145,4.4,2.21,1.96,0/19,6.44G,5.06,2.68,2.92,10.7,75,1.06E+03,0.098,0.171,0.0943,0.116,4.39,2.26,1.98,0/14,6.47G,4.97,2.11,2.8,9.88,92,1.06E+03,0.306,0.131,0.122,0.131,4.05,2.61,2.04,0/149,6.47G,5.31,3.64,2.93,11.9,777,1.06E+03,0.112,0.192,0.11,0.111,4.13,2.36,2.09,0/14,6.47G,5.86,4.75,3.17,13.8,843,1.06E+03,0.108,0.179,0.104,0.104,3.9,2.92,2.28,21/34,6.47G,3.34,1.68,1.56,6.58,843,1.06E+03,0.315,0.368,0.304,0.323,3.4,1.93,1.74,21/39,6.47G,3.47,1.48,1.62,6.57,777,1.06E+03,0.323,0.334,0.296,0.317,3.38,1.92,1.74,21/39,6.47G,3.92,1.35,2.46,7.73,87,1.06E+03,0.278,0.228,0.201,0.215,3.55,2.02,1.98,Dec-49,6.72G,2.75,0.884,1.45,5.08,75,1.06E+03,0.44,0.448,0.396,0.403,2.67,1.55,1.31,0/14,6.47G,5.55,3.95,3.12,12.6,761,1.06E+03,0.123,0.167,0.0901,0.0796,4.2,2.55,2.3,Dec-49,6.72G,2.79,1.32,1.05,5.17,761,1.06E+03,0.386,0.497,0.407,0.421,2.63,1.58,1.21
14-Jan,11.7G,5.23,1.44,2.23,8.89,177,1.06E+03,0.38,0.114,0.118,0.139,3.81,2.3,2.12,14-Jan,11.6G,4.34,1.27,2.02,7.63,75,1.06E+03,0.396,0.181,0.16,0.155,3.66,1.95,1.98,19-Jan,6.47G,4.33,1.27,1.91,7.51,34,1.06E+03,0.519,0.205,0.173,0.192,3.52,1.89,1.7,14-Jan,11.6G,4.27,1,1.81,7.09,22,1.06E+03,0.385,0.138,0.16,0.153,3.6,2.36,1.88,1/149,6.5G,4.46,1.74,1.82,8.01,1.56E+03,1.06E+03,0.273,0.248,0.198,0.167,4.31,1.79,1.71,14-Jan,11.7G,4.96,2.86,2.15,9.98,1.69E+03,1.06E+03,0.171,0.206,0.165,0.176,3.65,2.41,1.95,22/34,11.6G,2.69,1.43,1.13,5.24,1.69E+03,1.06E+03,0.299,0.424,0.334,0.345,2.9,1.77,1.58,22/39,6.49G,2.77,1.24,1.15,5.17,1.56E+03,1.06E+03,0.313,0.419,0.343,0.351,3.03,1.8,1.52,22/39,6.5G,3.18,1.16,1.91,6.24,75,1.06E+03,0.323,0.307,0.263,0.286,3.07,1.87,1.72,13/49,6.45G,2.53,0.78,1.02,4.33,34,1.06E+03,0.376,0.529,0.439,0.436,2.71,1.54,1.18,14-Jan,11.7G,4.66,2.1,2.08,8.84,1.30E+03,1.06E+03,0.284,0.216,0.165,0.17,3.54,2.06,1.88,13/49,11.9G,2.59,1.15,0.733,4.47,1.30E+03,1.06E+03,0.37,0.528,0.435,0.428,2.78,1.55,1.22
14-Feb,11.7G,4.61,1.1,2.03,7.73,59,1.06E+03,0.488,0.0996,0.15,0.134,3.98,1.97,2.01,14-Feb,11.6G,4.06,1.07,1.86,6.99,124,1.06E+03,0.399,0.187,0.195,0.193,3.84,1.73,2.04,19-Feb,6.47G,4.35,1.06,1.72,7.14,92,1.06E+03,0.446,0.197,0.195,0.191,6.21,1.49,1.71,14-Feb,11.6G,4.01,0.804,1.63,6.44,122,1.06E+03,0.481,0.12,0.189,0.159,3.44,2.07,2.01,2/149,6.5G,4.09,1.36,1.53,6.98,745,1.06E+03,0.477,0.24,0.204,0.181,4.15,1.62,1.6,14-Feb,11.7G,4.71,2.26,1.92,8.89,857,1.06E+03,0.348,0.198,0.182,0.199,3.45,2.09,1.8,23/34,11.6G,2.5,1.31,0.971,4.78,857,1.06E+03,0.314,0.456,0.35,0.369,2.75,1.75,1.5,23/39,6.49G,2.58,1.12,0.952,4.65,745,1.06E+03,0.334,0.437,0.357,0.372,2.96,1.76,1.46,23/39,6.5G,2.94,1.05,1.64,5.64,124,1.06E+03,0.321,0.349,0.3,0.322,2.84,1.75,1.54,14/49,6.45G,2.37,0.688,0.717,3.77,92,1.06E+03,0.444,0.524,0.466,0.474,2.56,1.53,1.15,14-Feb,11.7G,4.4,1.66,1.81,7.88,918,1.06E+03,0.279,0.209,0.166,0.154,3.88,1.78,1.7,14/49,11.9G,2.49,1.05,0.568,4.11,918,1.06E+03,0.446,0.502,0.45,0.464,2.62,1.54,1.18
14-Mar,11.7G,4.26,1.02,1.82,7.1,92,1.06E+03,0.517,0.191,0.211,0.193,3.59,1.83,1.68,14-Mar,11.6G,3.53,0.968,1.72,6.22,147,1.06E+03,0.347,0.324,0.297,0.308,2.93,1.63,1.49,19-Mar,6.47G,3.68,1.03,1.56,6.27,98,1.06E+03,0.446,0.338,0.323,0.333,2.93,1.66,1.37,14-Mar,11.6G,3.6,0.72,1.42,5.74,30,1.06E+03,0.463,0.265,0.271,0.27,3.14,1.72,1.47,3/149,6.5G,3.66,1.22,1.3,6.18,1.04E+03,1.06E+03,0.354,0.354,0.309,0.319,3.26,1.66,1.39,14-Mar,11.7G,4.23,1.98,1.73,7.93,1.72E+03,1.06E+03,0.285,0.221,0.247,0.226,3.33,1.92,1.6,24/34,11.6G,2.4,1.23,0.864,4.49,1.72E+03,1.06E+03,0.324,0.466,0.365,0.381,2.66,1.7,1.43,24/39,6.49G,2.42,1.04,0.82,4.28,1.04E+03,1.06E+03,0.34,0.444,0.372,0.382,2.71,1.72,1.39,24/39,6.5G,2.81,0.985,1.41,5.21,147,1.06E+03,0.326,0.388,0.319,0.346,2.75,1.74,1.44,15/49,6.45G,2.26,0.626,0.521,3.4,98,1.06E+03,0.476,0.524,0.475,0.487,2.51,1.55,1.16,14-Mar,11.7G,3.89,1.47,1.61,6.98,2.00E+03,1.06E+03,0.37,0.275,0.273,0.262,3.31,1.75,1.51,15/49,11.9G,2.36,0.965,0.461,3.79,2.00E+03,1.06E+03,0.439,0.503,0.452,0.463,2.55,1.55,1.19
14-Apr,11.7G,3.49,0.953,1.54,5.98,122,1.06E+03,0.509,0.279,0.279,0.294,3.1,1.68,1.53,14-Apr,11.6G,3.08,0.86,1.31,5.25,176,1.06E+03,0.395,0.36,0.324,0.36,2.74,1.58,1.33,19-Apr,6.47G,3.22,0.908,1.22,5.34,62,1.06E+03,0.411,0.386,0.354,0.385,2.83,1.58,1.27,14-Apr,11.6G,3.26,0.676,1.21,5.14,103,1.06E+03,0.534,0.295,0.299,0.309,3.02,1.72,1.38,4/149,6.5G,3.15,1.11,1.03,5.29,608,1.06E+03,0.344,0.432,0.348,0.375,3.04,1.6,1.27,14-Apr,11.7G,3.86,1.91,1.49,7.26,771,1.06E+03,0.369,0.334,0.315,0.333,3.36,1.9,1.47,25/34,11.6G,2.25,1.18,0.774,4.21,771,1.06E+03,0.327,0.482,0.379,0.387,2.67,1.65,1.38,25/39,6.49G,2.26,0.976,0.724,3.96,608,1.06E+03,0.361,0.466,0.384,0.399,2.77,1.67,1.33,25/39,6.5G,2.6,0.922,1.21,4.74,176,1.06E+03,0.322,0.407,0.336,0.351,2.74,1.66,1.41,16/49,6.45G,2.19,0.577,0.397,3.17,62,1.06E+03,0.466,0.533,0.475,0.487,2.47,1.57,1.17,14-Apr,11.7G,3.45,1.37,1.32,6.14,494,1.06E+03,0.413,0.359,0.32,0.347,3,1.62,1.38,16/49,11.9G,2.32,0.905,0.388,3.62,494,1.06E+03,0.448,0.497,0.447,0.461,2.63,1.6,1.22
14-May,11.7G,3.22,0.882,1.38,5.48,68,1.06E+03,0.495,0.314,0.3,0.322,2.9,1.61,1.43,14-May,11.6G,2.79,0.782,1.05,4.63,186,1.06E+03,0.412,0.419,0.377,0.406,2.61,1.51,1.25,19-May,6.47G,2.87,0.826,1,4.7,15,1.06E+03,0.36,0.426,0.376,0.385,2.69,1.51,1.22,14-May,11.6G,2.98,0.647,1.04,4.67,160,1.06E+03,0.476,0.34,0.341,0.351,2.89,1.66,1.27,5/149,6.5G,2.88,1.01,0.837,4.73,867,1.06E+03,0.335,0.489,0.39,0.394,2.95,1.57,1.29,14-May,11.7G,3.63,1.84,1.32,6.79,874,1.06E+03,0.43,0.338,0.317,0.338,3.02,2.02,1.49,26/34,11.6G,2.17,1.13,0.713,4.01,874,1.06E+03,0.336,0.481,0.383,0.394,2.61,1.64,1.36,26/39,6.49G,2.17,0.925,0.62,3.71,867,1.06E+03,0.353,0.469,0.387,0.4,2.65,1.67,1.32,26/39,6.5G,2.46,0.871,1.06,4.39,186,1.06E+03,0.338,0.433,0.352,0.375,2.64,1.64,1.37,17/49,6.45G,2.1,0.536,0.321,2.95,15,1.06E+03,0.453,0.531,0.467,0.484,2.51,1.62,1.21,14-May,11.7G,3.15,1.27,1.12,5.55,933,1.06E+03,0.366,0.421,0.357,0.379,2.81,1.55,1.28,17/49,11.9G,2.23,0.859,0.339,3.43,933,1.06E+03,0.463,0.493,0.45,0.471,2.55,1.62,1.24
14-Jun,11.7G,2.92,0.82,1.2,4.93,64,1.06E+03,0.403,0.382,0.338,0.36,2.78,1.59,1.33,14-Jun,11.6G,2.59,0.717,0.83,4.14,139,1.06E+03,0.423,0.426,0.397,0.412,2.59,1.5,1.21,19-Jun,6.47G,2.71,0.762,0.832,4.3,71,1.06E+03,0.382,0.435,0.392,0.402,2.59,1.5,1.21,14-Jun,11.6G,2.8,0.618,0.868,4.28,31,1.06E+03,0.383,0.394,0.36,0.376,2.81,1.57,1.21,6/149,6.5G,2.72,0.932,0.694,4.35,1.07E+03,1.06E+03,0.409,0.497,0.432,0.441,2.98,1.55,1.18,14-Jun,11.7G,3.36,1.79,1.15,6.29,970,1.06E+03,0.468,0.358,0.339,0.379,2.82,1.97,1.4,27/34,11.6G,2.08,1.09,0.654,3.83,970,1.06E+03,0.33,0.49,0.386,0.393,2.6,1.63,1.34,27/39,6.49G,2.08,0.883,0.553,3.51,1.07E+03,1.06E+03,0.376,0.474,0.392,0.413,2.72,1.64,1.31,27/39,6.5G,2.38,0.83,0.937,4.15,139,1.06E+03,0.333,0.445,0.362,0.377,2.67,1.62,1.38,18/49,6.45G,2.03,0.507,0.273,2.81,71,1.06E+03,0.453,0.533,0.469,0.488,2.47,1.65,1.23,14-Jun,11.7G,3,1.2,0.957,5.16,471,1.06E+03,0.375,0.439,0.38,0.394,2.68,1.55,1.23,18/49,11.9G,2.17,0.818,0.298,3.28,471,1.06E+03,0.448,0.501,0.448,0.466,2.54,1.64,1.27
14-Jul,11.7G,2.61,0.763,1.04,4.41,165,1.06E+03,0.378,0.414,0.355,0.383,2.77,1.51,1.27,14-Jul,11.6G,2.33,0.66,0.661,3.65,268,1.06E+03,0.384,0.458,0.408,0.416,2.64,1.54,1.19,19-Jul,6.47G,2.52,0.706,0.684,3.91,73,1.06E+03,0.42,0.447,0.408,0.429,2.53,1.5,1.18,14-Jul,11.6G,2.62,0.591,0.74,3.95,86,1.06E+03,0.425,0.382,0.364,0.38,2.6,1.56,1.17,7/149,6.5G,2.69,0.881,0.583,4.16,67,1.06E+03,0.458,0.492,0.445,0.464,2.58,1.6,1.17,14-Jul,11.7G,3.24,1.73,1,5.97,121,1.06E+03,0.471,0.362,0.344,0.397,2.89,2.02,1.4,28/34,11.6G,2.01,1.06,0.604,3.68,121,1.06E+03,0.34,0.486,0.387,0.398,2.52,1.64,1.35,28/39,6.49G,1.99,0.845,0.488,3.32,67,1.06E+03,0.382,0.48,0.398,0.42,2.58,1.64,1.3,28/39,6.5G,2.28,0.795,0.804,3.88,268,1.06E+03,0.344,0.456,0.374,0.39,2.55,1.63,1.36,19/49,6.45G,1.94,0.479,0.235,2.65,73,1.06E+03,0.465,0.523,0.47,0.489,2.47,1.71,1.26,14-Jul,11.7G,2.8,1.14,0.822,4.77,291,1.06E+03,0.389,0.453,0.399,0.409,2.72,1.52,1.22,19/49,11.9G,2.12,0.78,0.273,3.17,291,1.06E+03,0.467,0.481,0.45,0.466,2.57,1.71,1.32
14-Aug,11.7G,2.47,0.717,0.922,4.1,216,1.06E+03,0.404,0.407,0.368,0.397,2.7,1.52,1.24,14-Aug,11.6G,2.19,0.612,0.539,3.34,52,1.06E+03,0.433,0.47,0.428,0.447,2.51,1.57,1.19,19-Aug,6.47G,2.41,0.659,0.57,3.64,44,1.06E+03,0.45,0.449,0.416,0.442,2.55,1.52,1.2,14-Aug,11.6G,2.49,0.565,0.654,3.71,29,1.06E+03,0.413,0.389,0.374,0.385,2.56,1.61,1.17,8/149,6.5G,2.53,0.822,0.512,3.86,1.52E+03,1.06E+03,0.439,0.507,0.452,0.462,2.66,1.6,1.16,14-Aug,11.7G,3.02,1.67,0.884,5.57,1.66E+03,1.06E+03,0.441,0.38,0.34,0.394,3.05,1.94,1.4,29/34,11.6G,1.94,1.03,0.565,3.54,1.66E+03,1.06E+03,0.343,0.494,0.391,0.4,2.54,1.64,1.34,29/39,6.49G,1.9,0.812,0.438,3.15,1.52E+03,1.06E+03,0.369,0.486,0.4,0.414,2.55,1.65,1.31,29/39,6.5G,2.17,0.763,0.704,3.63,52,1.06E+03,0.347,0.454,0.377,0.392,2.59,1.63,1.36,20/49,6.45G,1.87,0.452,0.216,2.53,44,1.06E+03,0.485,0.518,0.466,0.495,2.47,1.75,1.3,14-Aug,11.7G,2.62,1.09,0.717,4.43,1.42E+03,1.06E+03,0.41,0.453,0.407,0.423,2.57,1.59,1.19,20/49,11.9G,2.09,0.754,0.249,3.09,1.42E+03,1.06E+03,0.464,0.491,0.443,0.47,2.55,1.73,1.29
14-Sep,11.7G,2.3,0.681,0.821,3.8,162,1.06E+03,0.376,0.448,0.39,0.404,2.58,1.5,1.2,14-Sep,11.6G,2.03,0.572,0.446,3.05,139,1.06E+03,0.45,0.462,0.426,0.45,2.46,1.57,1.21,19-Sep,6.47G,2.27,0.616,0.475,3.36,81,1.06E+03,0.438,0.481,0.434,0.454,2.46,1.54,1.23,14-Sep,11.6G,2.27,0.54,0.554,3.37,87,1.06E+03,0.404,0.422,0.392,0.403,2.51,1.58,1.17,9/149,6.5G,2.41,0.775,0.429,3.61,134,1.06E+03,0.507,0.483,0.447,0.485,2.59,1.61,1.17,14-Sep,11.7G,2.85,1.6,0.785,5.23,118,1.06E+03,0.485,0.344,0.336,0.394,2.75,2.1,1.43,30/34,11.6G,1.9,1.01,0.525,3.43,118,1.06E+03,0.349,0.488,0.393,0.404,2.59,1.63,1.35,30/39,6.49G,1.82,0.778,0.401,3,134,1.06E+03,0.377,0.491,0.409,0.423,2.6,1.66,1.3,30/39,6.5G,2.1,0.734,0.618,3.46,139,1.06E+03,0.35,0.469,0.381,0.399,2.6,1.63,1.39,21/49,6.45G,1.78,0.432,0.193,2.4,81,1.06E+03,0.462,0.517,0.46,0.483,,,,14-Sep,11.7G,2.46,1.04,0.63,4.13,57,1.06E+03,0.408,0.472,0.417,0.43,2.68,1.57,1.18,21/49,11.9G,1.98,0.719,0.233,2.93,57,1.06E+03,0.462,0.486,0.441,0.468,2.57,1.77,1.3
