no_augment:epoch,no_augment:gpu_memory,no_augment:train_giou_loss,no_augment:train_obj_loss,no_augment:train_cls_loss,no_augment:total,no_augment:targets,no_augment:size,no_augment:precision,no_augment:recall,no_augment:map 0.5,no_augment:map 0.5:0.95,no_augment:val_giou_loss,no_augment:val_obj_loss,no_augment:val_cls_loss,augment1:epoch,augment1:gpu_memory,augment1:train_giou_loss,augment1:train_obj_loss,augment1:train_cls_loss,augment1:total,augment1:targets,augment1:size,augment1:precision,augment1:recall,augment1:map 0.5,augment1:map 0.5:0.95,augment1:val_giou_loss,augment1:val_obj_loss,augment1:val_cls_loss,augment2:epoch,augment2:gpu_memory,augment2:train_giou_loss,augment2:train_obj_loss,augment2:train_cls_loss,augment2:total,augment2:targets,augment2:size,augment2:precision,augment2:recall,augment2:map 0.5,augment2:map 0.5:0.95,augment2:val_giou_loss,augment2:val_obj_loss,augment2:val_cls_loss,augment3:epoch,augment3:gpu_memory,augment3:train_giou_loss,augment3:train_obj_loss,augment3:train_cls_loss,augment3:total,augment3:targets,augment3:size,augment3:precision,augment3:recall,augment3:map 0.5,augment3:map 0.5:0.95,augment3:val_giou_loss,augment3:val_obj_loss,augment3:val_cls_loss,"augment_(3,4):epoch","augment_(3,4):gpu_memory","augment_(3,4):train_giou_loss","augment_(3,4):train_obj_loss","augment_(3,4):train_cls_loss","augment_(3,4):total","augment_(3,4):targets","augment_(3,4):size","augment_(3,4):precision","augment_(3,4):recall","augment_(3,4):map 0.5","augment_(3,4):map 0.5:0.95","augment_(3,4):val_giou_loss","augment_(3,4):val_obj_loss","augment_(3,4):val_cls_loss","augment_(3,5)_transfer:epoch","augment_(3,5)_transfer:gpu_memory","augment_(3,5)_transfer:train_giou_loss","augment_(3,5)_transfer:train_obj_loss","augment_(3,5)_transfer:train_cls_loss","augment_(3,5)_transfer:total","augment_(3,5)_transfer:targets","augment_(3,5)_transfer:size","augment_(3,5)_transfer:precision","augment_(3,5)_transfer:recall","augment_(3,5)_transfer:map 0.5","augment_(3,5)_transfer:map 0.5:0.95","augment_(3,5)_transfer:val_giou_loss","augment_(3,5)_transfer:val_obj_loss","augment_(3,5)_transfer:val_cls_loss",augment_blur+base_transfer:epoch,augment_blur+base_transfer:gpu_memory,augment_blur+base_transfer:train_giou_loss,augment_blur+base_transfer:train_obj_loss,augment_blur+base_transfer:train_cls_loss,augment_blur+base_transfer:total,augment_blur+base_transfer:targets,augment_blur+base_transfer:size,augment_blur+base_transfer:precision,augment_blur+base_transfer:recall,augment_blur+base_transfer:map 0.5,augment_blur+base_transfer:map 0.5:0.95,augment_blur+base_transfer:val_giou_loss,augment_blur+base_transfer:val_obj_loss,augment_blur+base_transfer:val_cls_loss,augment_blend+base_transfer:epoch,augment_blend+base_transfer:gpu_memory,augment_blend+base_transfer:train_giou_loss,augment_blend+base_transfer:train_obj_loss,augment_blend+base_transfer:train_cls_loss,augment_blend+base_transfer:total,augment_blend+base_transfer:targets,augment_blend+base_transfer:size,augment_blend+base_transfer:precision,augment_blend+base_transfer:recall,augment_blend+base_transfer:map 0.5,augment_blend+base_transfer:map 0.5:0.95,augment_blend+base_transfer:val_giou_loss,augment_blend+base_transfer:val_obj_loss,augment_blend+base_transfer:val_cls_loss
0/19,3.75G,0.07125,0.02017,0.01933,0.1107,67,1056,0,0,0.008753,0.001777,0.06567,0.03766,0.01838,0/19,3.76G,0.07035,0.02066,0.01878,0.1098,54,1056,0.1211,0.001573,0.02853,0.007451,0.06348,0.03998,0.01748,0/19,3.76G,0.07051,0.02055,0.01873,0.1098,54,1056,0.09967,0.0002901,0.02612,0.006717,0.06373,0.03981,0.01737,0/19,3.76G,0.0714,0.01464,0.01864,0.1047,28,1056,0,0,0.02439,0.006109,0.06425,0.04041,0.01737,0/19,3.71G,0.08679,0.02727,0.01865,0.1327,1408,1056,0,0,0.0006241,9.90E-05,0.07667,0.01656,0.01776,0/19,3.76G,0.06219,0.05345,0.009514,0.1251,1539,1056,0.2469,0.3247,0.2449,0.1074,0.05158,0.01835,0.009136,0/19,3.71G,0.06001,0.02407,0.01126,0.09534,54,1056,0.2429,0.2509,0.173,0.06281,0.04448,0.03754,0.009115,0/19,3.76G,0.06074,0.02413,0.01122,0.09608,54,1056,0.2723,0.255,0.1784,0.06514,0.04531,0.03839,0.009194
19-Jan,8.72G,0.05951,0.02463,0.01725,0.1014,67,1056,0.04858,0.05117,0.04218,0.01112,0.05439,0.04186,0.01594,19-Jan,8.72G,0.0558,0.02385,0.01584,0.0955,54,1056,0.06919,0.1114,0.08436,0.03376,0.04947,0.03625,0.0143,19-Jan,8.72G,0.05601,0.02374,0.01586,0.09561,54,1056,0.07227,0.108,0.08116,0.02927,0.05048,0.03635,0.01424,19-Jan,8.72G,0.05666,0.01809,0.01575,0.0905,28,1056,0.2342,0.08895,0.07494,0.02811,0.05045,0.03966,0.01421,19-Jan,8.66G,0.07735,0.03137,0.01644,0.1252,1408,1056,0.06077,0.06332,0.03846,0.01003,0.06761,0.01807,0.01564,19-Jan,8.73G,0.06011,0.0487,0.008909,0.1177,1539,1056,0.2626,0.3428,0.2655,0.1223,0.05081,0.01809,0.008853,19-Jan,8.66G,0.04372,0.02054,0.00953,0.07379,54,1056,0.2862,0.3256,0.2829,0.1272,0.03902,0.03247,0.008318,19-Jan,8.72G,0.04399,0.02104,0.009512,0.07454,54,1056,0.2879,0.317,0.2794,0.1271,0.0398,0.03322,0.008476
19-Feb,8.72G,0.05353,0.02294,0.0151,0.09156,67,1056,0.04078,0.08219,0.0565,0.01612,0.05302,0.03514,0.01418,19-Feb,8.72G,0.05053,0.02119,0.01375,0.08547,54,1056,0.1377,0.1669,0.1025,0.02906,0.04984,0.03309,0.01275,19-Feb,8.72G,0.05089,0.02106,0.01379,0.08573,54,1056,0.1382,0.1718,0.1021,0.03058,0.0485,0.03385,0.01267,19-Feb,8.72G,0.05155,0.01618,0.01352,0.08125,28,1056,0.1105,0.152,0.09429,0.02942,0.05031,0.0337,0.01248,19-Feb,8.66G,0.07031,0.03604,0.01445,0.1208,1408,1056,0.09583,0.1114,0.07834,0.02475,0.06208,0.01913,0.0142,19-Feb,8.73G,0.05911,0.04747,0.008457,0.115,1539,1056,0.2769,0.3498,0.2737,0.1281,0.0506,0.01776,0.008692,19-Feb,8.66G,0.04139,0.01899,0.008824,0.06921,54,1056,0.3426,0.3459,0.3092,0.1361,0.03875,0.03123,0.008267,19-Feb,8.72G,0.0412,0.01943,0.008776,0.0694,54,1056,0.3518,0.3349,0.3036,0.1341,0.03986,0.03214,0.008336
19-Mar,8.72G,0.04959,0.02034,0.01382,0.08376,67,1056,0.104,0.1691,0.1106,0.03506,0.04774,0.03301,0.01317,19-Mar,8.72G,0.04767,0.0206,0.01269,0.08096,54,1056,0.2733,0.1899,0.154,0.06244,0.04413,0.0331,0.01202,19-Mar,8.72G,0.04812,0.02057,0.01267,0.08136,54,1056,0.1236,0.19,0.1417,0.0522,0.04514,0.03299,0.0119,19-Mar,8.72G,0.04886,0.01531,0.01227,0.07645,28,1056,0.1281,0.1821,0.1479,0.05784,0.04529,0.03334,0.01174,19-Mar,8.66G,0.06744,0.0394,0.01327,0.1201,1408,1056,0.1139,0.1466,0.1043,0.03687,0.05959,0.01943,0.01327,19-Mar,8.73G,0.05836,0.04689,0.008154,0.1134,1539,1056,0.273,0.3533,0.279,0.1292,0.05053,0.01765,0.008662,19-Mar,8.66G,0.03979,0.01828,0.008359,0.06643,54,1056,0.3514,0.3694,0.3261,0.1592,0.03689,0.0304,0.008044,19-Mar,8.72G,0.0399,0.01884,0.008319,0.06706,54,1056,0.3701,0.363,0.3207,0.1562,0.0382,0.03135,0.008136
19-Apr,8.72G,0.04581,0.01955,0.01303,0.07839,67,1056,0.09934,0.1759,0.1196,0.04643,0.04601,0.03218,0.01257,19-Apr,8.72G,0.04519,0.02019,0.01208,0.07746,54,1056,0.2804,0.205,0.1724,0.07953,0.04253,0.03231,0.0116,19-Apr,8.72G,0.04575,0.02017,0.01207,0.07798,54,1056,0.1369,0.1992,0.1659,0.07367,0.04307,0.03258,0.01147,19-Apr,8.72G,0.04686,0.015,0.0116,0.07346,28,1056,0.1246,0.2076,0.1631,0.06912,0.04396,0.03243,0.01139,19-Apr,8.66G,0.06527,0.04032,0.01254,0.1181,1408,1056,0.1151,0.1679,0.1276,0.04884,0.05801,0.01939,0.01275,19-Apr,8.73G,0.05779,0.04649,0.007944,0.1122,1539,1056,0.2811,0.3592,0.2828,0.1314,0.05052,0.01762,0.008649,19-Apr,8.66G,0.03889,0.01788,0.008019,0.06479,54,1056,0.3559,0.3843,0.3389,0.1651,0.03662,0.03005,0.008005,19-Apr,8.72G,0.03856,0.01834,0.007932,0.06483,54,1056,0.3514,0.3792,0.3323,0.1639,0.03769,0.03104,0.008037
19-May,8.72G,0.04374,0.01923,0.01254,0.07551,67,1056,0.09022,0.1874,0.124,0.04287,0.04363,0.03192,0.01216,19-May,8.72G,0.04368,0.01977,0.01169,0.07513,54,1056,0.2804,0.2203,0.1875,0.092,0.04179,0.03181,0.01131,19-May,8.72G,0.04408,0.01981,0.01167,0.07555,54,1056,0.1371,0.2103,0.1758,0.08207,0.04245,0.03206,0.0112,19-May,8.72G,0.04499,0.01465,0.01118,0.07081,28,1056,0.2731,0.2198,0.1766,0.07767,0.04323,0.03192,0.0111,19-May,8.66G,0.06391,0.04026,0.01206,0.1162,1408,1056,0.1232,0.1826,0.143,0.05666,0.05699,0.01941,0.0124,19-May,8.73G,0.05725,0.04615,0.007759,0.1112,1539,1056,0.2931,0.3654,0.287,0.1333,0.05059,0.01761,0.008655,19-May,8.66G,0.03748,0.01754,0.00769,0.06271,54,1056,0.3545,0.3908,0.3442,0.1717,0.03641,0.02982,0.007882,19-May,8.72G,0.03783,0.01802,0.007603,0.06346,54,1056,0.3412,0.3811,0.3363,0.1702,0.03751,0.03076,0.007997
19-Jun,8.72G,0.04204,0.01899,0.01211,0.07314,67,1056,0.1028,0.1994,0.1377,0.04807,0.04278,0.03162,0.01185,19-Jun,8.72G,0.04213,0.01945,0.01137,0.07295,54,1056,0.2188,0.2302,0.2049,0.1025,0.04086,0.03166,0.01108,19-Jun,8.72G,0.04282,0.01951,0.01137,0.0737,54,1056,0.1454,0.2205,0.193,0.09613,0.04134,0.03189,0.01098,19-Jun,8.72G,0.04374,0.0144,0.01086,0.069,28,1056,0.1372,0.2259,0.1952,0.09424,0.04222,0.0316,0.01089,19-Jun,8.66G,0.06285,0.04001,0.01174,0.1146,1408,1056,0.2133,0.1943,0.1546,0.06459,0.05602,0.01948,0.01214,19-Jun,8.73G,0.05693,0.04587,0.00761,0.1104,1539,1056,0.2956,0.3705,0.2883,0.1358,0.05055,0.01764,0.008663,19-Jun,8.66G,0.03661,0.01725,0.007405,0.06127,54,1056,0.3361,0.4059,0.3492,0.1771,0.03626,0.02961,0.007827,19-Jun,8.72G,0.03667,0.01768,0.007317,0.06167,54,1056,0.3361,0.3941,0.3401,0.1735,0.03736,0.03064,0.007986
19-Jul,8.72G,0.04065,0.01869,0.01183,0.07116,67,1056,0.2555,0.2089,0.1554,0.0634,0.04086,0.03149,0.01161,19-Jul,8.72G,0.04127,0.01913,0.01111,0.07151,54,1056,0.3852,0.2404,0.2114,0.1007,0.04137,0.03149,0.01091,19-Jul,8.72G,0.04184,0.01919,0.01111,0.07213,54,1056,0.2821,0.2288,0.1905,0.08599,0.04188,0.0317,0.0108,19-Jul,8.72G,0.04255,0.01418,0.0106,0.06734,28,1056,0.219,0.2305,0.1977,0.09306,0.04234,0.03166,0.01076,19-Jul,8.66G,0.06221,0.03987,0.01152,0.1136,1408,1056,0.1799,0.2089,0.1647,0.07,0.05561,0.01933,0.01195,19-Jul,8.73G,0.0565,0.0456,0.00748,0.1096,1539,1056,0.306,0.3746,0.2898,0.1377,0.05052,0.01764,0.008655,19-Jul,8.66G,0.0358,0.017,0.007143,0.05994,54,1056,0.3512,0.4134,0.3556,0.1773,0.03658,0.02955,0.00775,19-Jul,8.72G,0.036,0.01743,0.00708,0.0605,54,1056,0.3444,0.4129,0.3512,0.1781,0.03725,0.03051,0.007856
19-Aug,8.72G,0.03927,0.01848,0.01156,0.06932,67,1056,0.2606,0.2161,0.1668,0.06721,0.04051,0.03123,0.01141,19-Aug,8.72G,0.04015,0.01886,0.01091,0.06993,54,1056,0.3753,0.2529,0.2227,0.1119,0.04044,0.03128,0.01075,19-Aug,8.72G,0.04078,0.01892,0.01091,0.0706,54,1056,0.2478,0.2409,0.2143,0.1045,0.04106,0.03147,0.01063,19-Aug,8.72G,0.04191,0.01397,0.0104,0.06628,28,1056,0.2193,0.2425,0.2063,0.08802,0.04262,0.03139,0.0106,19-Aug,8.66G,0.06152,0.03975,0.01134,0.1126,1408,1056,0.1776,0.2154,0.1692,0.07241,0.05524,0.01938,0.01182,19-Aug,8.73G,0.05622,0.04538,0.007365,0.109,1539,1056,0.3048,0.376,0.2911,0.1388,0.05049,0.01767,0.008686,19-Aug,8.66G,0.03526,0.0168,0.006913,0.05898,54,1056,0.3439,0.4187,0.36,0.1815,0.03624,0.02944,0.007715,19-Aug,8.72G,0.03565,0.01721,0.006891,0.05975,54,1056,0.3437,0.4201,0.3552,0.1802,0.0374,0.03047,0.007853
19-Sep,8.72G,0.03845,0.01824,0.01133,0.06802,67,1056,0.2753,0.2249,0.1797,0.07651,0.03919,0.03105,0.01123,19-Sep,8.72G,0.03952,0.0186,0.01071,0.06883,54,1056,0.2388,0.2627,0.2294,0.1143,0.04022,0.03112,0.0106,19-Sep,8.72G,0.04024,0.01866,0.0107,0.0696,54,1056,0.3778,0.2481,0.2221,0.1107,0.04073,0.03133,0.01048,19-Sep,8.72G,0.04126,0.01381,0.01022,0.06528,28,1056,0.2239,0.2568,0.2203,0.1056,0.04153,0.03113,0.01047,19-Sep,8.66G,0.06083,0.03965,0.01119,0.1117,1408,1056,0.1732,0.2216,0.1753,0.07649,0.05493,0.01936,0.01172,19-Sep,8.73G,0.05582,0.04519,0.007258,0.1083,1539,1056,0.2987,0.376,0.2922,0.1394,0.05059,0.01763,0.008729,19-Sep,8.66G,0.03511,0.01662,0.006753,0.05848,54,1056,0.3403,0.4262,0.3601,0.1864,0.03613,0.02938,0.007691,19-Sep,8.72G,0.03545,0.01704,0.006715,0.0592,54,1056,0.333,0.4227,0.3554,0.1827,0.03708,0.03045,0.007859
