no_augment:epoch,no_augment:gpu_memory,no_augment:train_giou_loss,no_augment:train_obj_loss,no_augment:train_cls_loss,no_augment:total,no_augment:targets,no_augment:size,no_augment:precision,no_augment:recall,no_augment:map 0.5,no_augment:map 0.5:0.95,no_augment:val_giou_loss,no_augment:val_obj_loss,no_augment:val_cls_loss,augment1:epoch,augment1:gpu_memory,augment1:train_giou_loss,augment1:train_obj_loss,augment1:train_cls_loss,augment1:total,augment1:targets,augment1:size,augment1:precision,augment1:recall,augment1:map 0.5,augment1:map 0.5:0.95,augment1:val_giou_loss,augment1:val_obj_loss,augment1:val_cls_loss,augment2:epoch,augment2:gpu_memory,augment2:train_giou_loss,augment2:train_obj_loss,augment2:train_cls_loss,augment2:total,augment2:targets,augment2:size,augment2:precision,augment2:recall,augment2:map 0.5,augment2:map 0.5:0.95,augment2:val_giou_loss,augment2:val_obj_loss,augment2:val_cls_loss,augment3:epoch,augment3:gpu_memory,augment3:train_giou_loss,augment3:train_obj_loss,augment3:train_cls_loss,augment3:total,augment3:targets,augment3:size,augment3:precision,augment3:recall,augment3:map 0.5,augment3:map 0.5:0.95,augment3:val_giou_loss,augment3:val_obj_loss,augment3:val_cls_loss,"augment_(3,4):epoch","augment_(3,4):gpu_memory","augment_(3,4):train_giou_loss","augment_(3,4):train_obj_loss","augment_(3,4):train_cls_loss","augment_(3,4):total","augment_(3,4):targets","augment_(3,4):size","augment_(3,4):precision","augment_(3,4):recall","augment_(3,4):map 0.5","augment_(3,4):map 0.5:0.95","augment_(3,4):val_giou_loss","augment_(3,4):val_obj_loss","augment_(3,4):val_cls_loss","augment_(3,5)_transfer:epoch","augment_(3,5)_transfer:gpu_memory","augment_(3,5)_transfer:train_giou_loss","augment_(3,5)_transfer:train_obj_loss","augment_(3,5)_transfer:train_cls_loss","augment_(3,5)_transfer:total","augment_(3,5)_transfer:targets","augment_(3,5)_transfer:size","augment_(3,5)_transfer:precision","augment_(3,5)_transfer:recall","augment_(3,5)_transfer:map 0.5","augment_(3,5)_transfer:map 0.5:0.95","augment_(3,5)_transfer:val_giou_loss","augment_(3,5)_transfer:val_obj_loss","augment_(3,5)_transfer:val_cls_loss"
0/19,1.51G,0.1023,0.01852,0.01946,0.1403,67,352,0,0,5.93E-05,2.29E-05,0.09801,0.03285,0.01905,0/19,1.51G,0.09846,0.02056,0.01886,0.1379,54,352,0,0,4.01E-05,8.57E-06,0.09369,0.03694,0.01825,0/19,1.33G,0.09785,0.02123,0.01891,0.138,27,352,0,0,6.95E-05,1.05E-05,0.09304,0.03774,0.01813,0/19,1.51G,0.09933,0.01368,0.01863,0.1316,28,352,0,0,4.08E-05,9.99E-06,0.09404,0.0337,0.01787,0/19,1.51G,0.1103,0.0231,0.01897,0.1524,1408,352,0,0,2.25E-05,3.35E-06,0.1019,0.01691,0.01828,0/19,1.52G,0.08618,0.1017,0.01206,0.1999,1539,352,0.1929,0.08662,0.06379,0.02167,0.08572,0.06234,0.02354
19-Jan,5.9G,0.09289,0.02476,0.01828,0.1359,67,352,0,0,0.0002726,5.40E-05,0.09182,0.03817,0.01772,19-Jan,5.9G,0.08876,0.02562,0.01701,0.1314,54,352,0.01836,0.0006591,0.001807,0.0003301,0.08915,0.04095,0.01631,19-Jan,5.88G,0.08826,0.02642,0.01694,0.1316,27,352,0.01272,0.0005429,0.001633,0.0003013,0.08857,0.04132,0.01613,19-Jan,5.9G,0.08896,0.01753,0.01655,0.123,28,352,0.01668,0.0008474,0.001941,0.0003602,0.08948,0.03822,0.01582,19-Jan,5.9G,0.1003,0.02581,0.0174,0.1435,1408,352,0,0,0.0002431,4.52E-05,0.09627,0.01965,0.01692,19-Jan,5.9G,0.08425,0.09656,0.01118,0.192,1539,352,0.3775,0.1168,0.09138,0.03346,0.08376,0.05909,0.01829
19-Feb,5.9G,0.08818,0.02656,0.0167,0.1314,67,352,0.01189,0.0005021,0.001318,0.0002405,0.08892,0.04106,0.01635,19-Feb,5.9G,0.08486,0.02983,0.01562,0.1303,54,352,0.05911,0.01589,0.01405,0.003046,0.0865,0.04779,0.0152,19-Feb,5.88G,0.08442,0.03082,0.01552,0.1308,27,352,0.07211,0.02231,0.01654,0.003728,0.08596,0.04934,0.01504,19-Feb,5.9G,0.08532,0.02005,0.01508,0.1205,28,352,0.06271,0.01629,0.0155,0.00318,0.08703,0.04417,0.01473,19-Feb,5.9G,0.09663,0.02655,0.01619,0.1394,1408,352,0.007345,3.14E-05,0.001076,0.0002549,0.09401,0.02135,0.01608,19-Feb,5.9G,0.08342,0.09421,0.01071,0.1883,1539,352,0.2473,0.1334,0.1034,0.03704,0.08217,0.05777,0.0148
19-Mar,5.9G,0.08606,0.0288,0.01576,0.1306,67,352,0.03667,0.009861,0.007055,0.00137,0.08735,0.04492,0.01554,19-Mar,5.9G,0.08223,0.03507,0.01493,0.1322,54,352,0.08312,0.03582,0.02481,0.005837,0.08449,0.05535,0.01455,19-Mar,5.88G,0.08169,0.03655,0.01476,0.133,27,352,0.09247,0.04075,0.02688,0.006709,0.08383,0.05711,0.01434,19-Mar,5.9G,0.08311,0.02271,0.01406,0.1199,28,352,0.09539,0.0334,0.02505,0.006032,0.08553,0.04909,0.01405,19-Mar,5.9G,0.09474,0.02814,0.01547,0.1383,1408,352,0.02686,0.001663,0.002218,0.0004247,0.09264,0.02315,0.01557,19-Mar,5.91G,0.0828,0.09222,0.01039,0.1854,1539,352,0.2546,0.1438,0.1105,0.04003,0.08166,0.05719,0.01358
19-Apr,5.9G,0.08446,0.03147,0.01517,0.1311,67,352,0.07984,0.01974,0.01572,0.003576,0.08611,0.04867,0.015,19-Apr,5.9G,0.08029,0.03925,0.01444,0.134,54,352,0.09495,0.0465,0.03323,0.008875,0.08315,0.05994,0.01409,19-Apr,5.88G,0.07961,0.041,0.01427,0.1349,27,352,0.09133,0.05392,0.03498,0.009958,0.08238,0.06217,0.01391,19-Apr,5.9G,0.08165,0.02475,0.0133,0.1197,28,352,0.0979,0.04654,0.0331,0.00877,0.08447,0.05325,0.01371,19-Apr,5.9G,0.09351,0.02991,0.01498,0.1384,1408,352,0.03991,0.005461,0.004748,0.0008839,0.09167,0.02514,0.01525,19-Apr,5.91G,0.08233,0.09058,0.01017,0.1831,1539,352,0.2491,0.1453,0.1108,0.04012,0.08159,0.05695,0.01329
19-May,5.9G,0.08309,0.03427,0.01476,0.1321,67,352,0.07639,0.03147,0.02059,0.004955,0.08513,0.05257,0.01463,19-May,5.9G,0.07887,0.04194,0.01406,0.1349,54,352,0.09499,0.05557,0.03853,0.01192,0.08214,0.06347,0.01377,19-May,5.88G,0.07806,0.04377,0.01389,0.1357,27,352,0.09452,0.06001,0.04036,0.01233,0.0815,0.06538,0.01363,19-May,5.91G,0.08054,0.02674,0.0128,0.1201,28,352,0.08301,0.05382,0.03648,0.01031,0.08354,0.05701,0.01355,19-May,5.9G,0.09272,0.0317,0.01465,0.1391,1408,352,0.04556,0.008317,0.007747,0.001682,0.09101,0.02648,0.01504,19-May,5.91G,0.08197,0.08958,0.009994,0.1815,1539,352,0.2362,0.143,0.1106,0.03941,0.08173,0.05676,0.01328
19-Jun,5.9G,0.08185,0.03696,0.01446,0.1333,67,352,0.07127,0.04067,0.02403,0.005868,0.08431,0.05586,0.01435,19-Jun,5.9G,0.07782,0.04356,0.01377,0.1351,54,352,0.1002,0.05903,0.0428,0.01353,0.08141,0.06642,0.01353,19-Jun,5.88G,0.07705,0.04523,0.01361,0.1359,27,352,0.09849,0.06421,0.04374,0.01419,0.08086,0.06748,0.01343,19-Jun,5.91G,0.07919,0.02836,0.01245,0.12,28,352,0.08939,0.05865,0.04069,0.01214,0.08271,0.06006,0.01341,19-Jun,5.9G,0.09215,0.0332,0.01439,0.1397,1408,352,0.04414,0.01001,0.009418,0.002105,0.09052,0.02762,0.01486,19-Jun,5.91G,0.08173,0.08879,0.009868,0.1804,1539,352,0.235,0.1446,0.1112,0.04094,0.08159,0.05695,0.01297
19-Jul,5.9G,0.08083,0.039,0.01421,0.134,67,352,0.07957,0.04649,0.028,0.007213,0.08368,0.05804,0.01412,19-Jul,5.9G,0.07703,0.04445,0.01353,0.135,54,352,0.0904,0.06901,0.04502,0.01401,0.0811,0.06742,0.01334,19-Jul,5.88G,0.0762,0.04601,0.01338,0.1356,27,352,0.1034,0.06807,0.04826,0.01598,0.08034,0.06911,0.01328,19-Jul,5.91G,0.07831,0.0295,0.01219,0.12,28,352,0.09206,0.06073,0.04087,0.01294,0.08246,0.06156,0.01325,19-Jul,5.9G,0.09169,0.03448,0.01417,0.1403,1408,352,0.04923,0.01269,0.01162,0.002644,0.0901,0.02869,0.01468,19-Jul,5.91G,0.08148,0.08818,0.009763,0.1794,1539,352,0.2394,0.1468,0.1115,0.04027,0.0816,0.0568,0.01287
19-Aug,5.9G,0.07991,0.04058,0.014,0.1345,67,352,0.2207,0.05097,0.03101,0.008542,0.08317,0.05998,0.01395,19-Aug,5.9G,0.07631,0.04495,0.01335,0.1346,54,352,0.09304,0.07224,0.04698,0.0152,0.0808,0.0683,0.01323,19-Aug,5.88G,0.07543,0.04632,0.01318,0.1349,27,352,0.1071,0.06863,0.04974,0.01672,0.08007,0.07016,0.01317,19-Aug,5.91G,0.07744,0.03025,0.01202,0.1197,28,352,0.0938,0.06262,0.04273,0.01418,0.08215,0.06288,0.01321,19-Aug,5.9G,0.09134,0.03558,0.01398,0.1409,1408,352,0.05376,0.01454,0.01371,0.003275,0.08975,0.0296,0.01453,19-Aug,5.91G,0.08124,0.08765,0.00968,0.1786,1539,352,0.2439,0.1472,0.1118,0.04053,0.08151,0.05684,0.01267
19-Sep,5.9G,0.07914,0.04183,0.01382,0.1348,67,352,0.2218,0.05564,0.03333,0.009539,0.08278,0.06144,0.01383,19-Sep,5.9G,0.07577,0.04515,0.01317,0.1341,54,352,0.0969,0.07419,0.04925,0.01607,0.08069,0.06904,0.01319,19-Sep,5.88G,0.07484,0.04639,0.01301,0.1342,27,352,0.1075,0.07026,0.05103,0.01723,0.07996,0.07086,0.01311,19-Sep,5.91G,0.07679,0.03075,0.01186,0.1194,28,352,0.09467,0.06605,0.04484,0.01499,0.082,0.06386,0.01324,19-Sep,5.9G,0.09102,0.03648,0.0138,0.1413,1408,352,0.06657,0.01653,0.01517,0.003702,0.08954,0.03032,0.0144,19-Sep,5.91G,0.08106,0.0873,0.009611,0.178,1539,352,0.2393,0.1458,0.1109,0.03961,0.08161,0.05694,0.01269
