Epoch,not_aug_IoU :0.50 AP,not_aug_IoU :0.5:0.95 AP,not_aug_train_Classification_Loss,not_aug_train_Regression_Loss,not_aug_train_Total_Loss,not_aug_val_Classification_Loss,not_aug_val_Regression_Loss,not_aug_val_Total_Loss,not_aug_pretrain_train_Classification_Loss,not_aug_pretrain_train_Regression_Loss,not_aug_pretrain_train_Total_Loss,not_aug_pretrain_valid_Classification_Loss,not_aug_pretrain_valid_Regression_Loss,not_aug_pretrain_valid_Total_Loss,aug_1_IoU :0.50 AP,aug1_IoU :0.5:0.95 AP,aug1_train_Classification_Loss,aug1_train_Regression_Loss,aug1_train_Total_Loss,aug1_valid_Classification_Loss,aug1_valid_Regression_Loss,aug1_valid_Total_Loss,aug_2_IoU:0.50,aug2_IoU:0.50:0.95,aug2_train_Classification_Loss,aug2_train_Regression_Loss,aug2_train_Total_Loss,aug2_valid_Classification_Loss,aug2_valid_Regression_Loss,aug2_valid_Total_Loss,aug_3_IoU:0.50,aug3_IoU:0.5:0.95,aug3_train_Classification_Loss,aug3_train_Regression_Loss,aug3_train_Total_Loss,aug3_valid_Classification_Loss,aug3_valid_Regression_Loss,aug3_valid_Total_Loss
1,0.001,0.001,0.632588029,0.784226298,1.616711599,0.720607519,0.797628647,1.518236166,0.183856964,0.234141976,0.405871516,0.441623684,0.455405725,0.897029409,0.008,0.003,0.580626965,0.718834519,1.493909454,0.595087464,0.688972563,1.284060026,0.008,0.003,0.670815527,0.655399263,1.475938975,0.577474798,0.685372105,1.262846903,0.003,0.001,0.395793378,0.331131727,1.100228868,0.672656456,0.785418127,1.458074583
2,0.002,0.002,0.657909513,0.647978723,1.278112189,0.560425179,0.69973927,1.260164449,0.116540782,0.220540956,0.384333923,0.459327463,0.444615643,0.903943106,0.016,0.006,0.307429165,0.345885694,1.107255774,0.482381667,0.591962067,1.074343734,0.016,0.006,0.46538195,0.620191574,1.091263642,0.485241838,0.587829161,1.073070998,0.005,0.002,0.470332682,0.52961123,0.863567264,0.591246614,0.645227433,1.236474048
3,0.007,0.004,0.344900489,0.585862517,1.103674047,0.504239526,0.631117393,1.135356919,0.121593438,0.170310616,0.366620964,0.458454875,0.446721714,0.905176588,0.021,0.009,0.465499163,0.550529957,0.926608498,0.466654298,0.533777781,1.000432079,0.02,0.008,0.414213717,0.600772142,0.897413736,0.453666558,0.545104605,0.998771163,0.003,0.001,0.468906105,0.388537467,0.762111442,0.555132165,0.606998399,1.162130564
4,0.012,0.006,0.455563605,0.490652293,0.961503611,0.492019856,0.585771146,1.077791002,0.145933077,0.270918638,0.358040442,0.467977795,0.444832897,0.912810692,0.021,0.01,0.369427949,0.447890282,0.811173928,0.453302056,0.5073698,0.960671855,0.022,0.009,0.308699071,0.427332878,0.773120915,0.450527875,0.509042341,0.959570216,0.006,0.002,0.363440633,0.463294744,0.670456099,0.560857323,0.580065458,1.140922781
5,0.016,0.007,0.372394264,0.522713602,0.881960974,0.464284122,0.563586873,1.027870995,0.127552524,0.176511467,0.34310089,0.472360139,0.445405648,0.917765787,0.025,0.011,0.218109861,0.274191558,0.734777602,0.426756676,0.492694948,0.919451624,0.023,0.01,0.165147975,0.233204335,0.701779888,0.42461679,0.479728719,0.904345509,0.01,0.004,0.235153332,0.323795885,0.61176387,0.505569869,0.545157102,1.050726972
6,0.019,0.009,0.499768436,0.357578427,0.81227635,0.483731295,0.546153705,1.029885,0.137531072,0.247316346,0.32696731,0.487781092,0.443790075,0.931571167,0.025,0.011,0.271481395,0.408669323,0.673466483,0.430359309,0.485703372,0.916062681,0.026,0.012,0.217425182,0.35043633,0.630219891,0.429968686,0.468813303,0.898781989,0.013,0.004,0.4802185,0.437414408,0.57514869,0.649224058,0.544102957,1.193327016
7,0.02,0.009,0.224845022,0.264131993,0.754078397,0.447989588,0.529368984,0.977358571,0.124838129,0.214294434,0.318333991,0.483439627,0.446333915,0.929773542,0.026,0.012,0.27889204,0.316928744,0.6237424,0.452426291,0.483000792,0.935427083,0.027,0.012,0.278137445,0.364270508,0.578505592,0.428930689,0.459760059,0.888690748,0.018,0.007,0.10817267,0.146384716,0.536365275,0.507973834,0.529771755,1.037745589
8,0.025,0.01,0.23239243,0.301978379,0.712716553,0.436499823,0.512464833,0.948964657,0.080828488,0.188172728,0.309983443,0.472894992,0.442255179,0.91515017,0.03,0.014,0.259563684,0.321077675,0.571907923,0.420627337,0.454446349,0.875073686,0.029,0.013,0.314063668,0.369099289,0.537299783,0.424237314,0.453554709,0.877792023,0.017,0.007,0.361898482,0.333211303,0.478336721,0.507057761,0.510947495,1.018005255
9,0.023,0.01,0.341831923,0.468028188,0.668416589,0.435594865,0.510815617,0.946410482,0.080824271,0.195111737,0.301785031,0.52498355,0.470785892,0.995769442,0.031,0.014,0.243882,0.37611419,0.53277086,0.421759188,0.446025805,0.867784993,0.03,0.014,0.168997869,0.254379094,0.501494793,0.427854168,0.44687809,0.874732258,0.019,0.008,0.318097055,0.244260341,0.445525556,0.499557334,0.501194345,1.000751679
10,0.024,0.011,0.290433466,0.427434683,0.629926643,0.446696716,0.498906639,0.945603355,0.053022243,0.136360273,0.298492694,0.506732336,0.431370347,0.938102683,0.032,0.015,0.229137421,0.34503597,0.501265267,0.449593596,0.441084291,0.890677887,0.032,0.015,0.21066986,0.320695281,0.470411206,0.441827928,0.450876461,0.89270439,0.022,0.009,0.190488175,0.263414443,0.433112936,0.45762619,0.490652802,0.948278992
11,0.026,0.01,0.238869935,0.256916821,0.585524816,0.42028773,0.499537262,0.919824991,0.152837723,0.227488458,0.291426623,0.554636884,0.436717713,0.991354597,0.034,0.016,0.100403458,0.110301331,0.474689507,0.451980141,0.440724132,0.892704273,0.033,0.015,0.28814739,0.401723653,0.438017941,0.448600954,0.446764238,0.895365192,0.023,0.009,0.159530714,0.129719153,0.391940733,0.500570344,0.48390735,0.984477695
