no_aug_map:0.5,no_aug:F1,no_aug_train_giou_loss,no_aug_train_obj_loss,train_cls_loss,no_aug_val_giou_loss,no_aug_val_obj_loss,no_aug_val_cls_loss,aug1_map:0.5,aug1_F1,aug1_train_giou_loss,aug1_train_obj_loss,aug1_train_cls_loss,aug1_val_giou_loss,aug1_val_obj_loss,aug1_val_cls_loss,aug2_map:0.5,aug2_F1,aug2_train_giou_loss,aug2_train_obj_loss,aug2_train_cls_loss,aug2_val_giou_loss,aug2_val_obj_loss,aug2_val_cls_loss,aug3_map:0.5,aug3_F1,aug3_train_giou_loss,aug3_train_obj_loss,aug3_train_cls_loss,aug3_val_giou_loss,aug3_val_obj_loss,aug3_val_cls_loss
0.02310439,0.046124186,5.910822868,4.644742966,3.088975906,5.303151131,4.63243103,2.520464182,0.024,0.0428,6.56,4.17,3.11,6.11,5.64,3.09,0.0412,0.0661,5.29,3.56,2.61,4.42,3.33,2.06,0.0411,0.069,4.96,2.69,2.48,4.67,3.8,2.18
0.052116748,0.069564275,4.642996788,2.312333345,2.163030863,5.144616127,3.410205126,2.143641472,0.0621,0.0854,5.55,2.31,2.33,4.88,3.15,2.15,0.0557,0.0946,4.51,1.84,1.85,4.23,3.04,1.99,0.0497,0.0806,4.02,1.44,1.8,4.41,3.13,2.06
0.03028046,0.07432615,4.423021317,1.885903001,1.859854817,5.115655899,2.988744497,2.080569744,0.067,0.0967,4.4,1.86,1.93,5.06,2.96,2,0.0882,0.127,3.94,1.53,1.69,3.91,2.4,1.78,0.0604,0.0783,3.88,1.18,1.69,4.4,2.82,2.11
0.052298728,0.095811613,4.275373459,1.666151762,1.749279618,4.333114624,2.720222712,1.937924385,0.0853,0.124,4.54,1.63,1.84,5.11,2.72,2.81,0.124,0.167,3.56,1.34,1.49,3.94,2.33,1.57,0.0751,0.104,3.8,1.09,1.63,4.05,2.81,2.16
0.081190288,0.106358901,4.198719978,1.487604499,1.706106067,4.014608383,2.537938356,1.976838589,0.0965,0.134,4.05,1.5,1.72,3.88,2.69,2.01,0.144,0.202,3.35,1.24,1.29,3.48,2.35,1.47,0.0784,0.104,3.59,1.13,1.66,3.76,2.82,1.92
0.095833518,0.138189018,3.819950819,1.371787667,1.660300374,4.540014744,2.255068302,1.744490981,0.136,0.196,3.97,1.34,1.58,4.02,2.4,1.95,0.147,0.202,3.03,1.15,1.14,3.11,2.35,1.38,0.0938,0.126,3.37,1.08,1.48,3.43,2.73,1.82
0.120260403,0.172185898,3.877827883,1.282110333,1.496750832,3.791649103,2.369278669,1.961586475,0.135,0.19,3.68,1.26,1.46,4,2.53,1.84,0.156,0.217,2.95,1.06,0.953,3.15,2.37,1.36,0.0942,0.119,3.23,1.04,1.4,3.76,2.55,1.87
0.135163963,0.175287262,3.476161718,1.252188087,1.411693811,3.784955502,2.266086817,1.722656727,0.154,0.21,3.42,1.17,1.24,3.95,2.44,1.71,0.164,0.218,2.75,0.993,0.849,3.06,2.42,1.38,0.104,0.126,3.01,1,1.23,3.62,2.75,1.77
0.138954267,0.193349138,3.23183322,1.169864416,1.27972126,3.65648222,2.29280448,1.651829839,0.109,0.159,3.5,1.27,1.36,3.84,2.72,1.8,0.171,0.223,2.58,0.934,0.737,3.02,2.41,1.3,0.115,0.149,2.94,0.96,1.15,3.5,2.78,1.65
0.135917366,0.186039776,3.251316547,1.089211106,1.153593302,3.668986559,2.379423618,2.11150074,0.14,0.204,3.47,1.19,1.14,3.54,2.54,1.73,0.176,0.249,2.5,0.879,0.664,3.12,2.5,1.29,0.122,0.16,2.8,0.928,1.04,3.35,2.85,1.62
0.139548689,0.196069673,3.106338263,1.084917665,1.169524789,3.416700125,2.417191029,1.731189251,0.153,0.198,3.38,1.09,1.01,3.71,2.54,1.64,0.177,0.238,2.45,0.827,0.581,3.1,2.47,1.26,0.0996,0.122,2.73,0.893,0.988,3.38,3.41,1.74
0.151959389,0.208767831,2.953235388,1.048012495,1.011400938,3.150478125,2.418870687,1.590148926,0.159,0.221,3.13,1.05,0.954,3.64,2.57,1.6,0.166,0.233,2.47,0.779,0.518,3.28,2.59,1.39,0.114,0.14,2.69,0.865,0.928,3.42,3.33,1.73
0.150017738,0.196384713,2.838321924,1.012729883,0.903824329,3.484814405,2.387507677,1.545122027,0.162,0.223,3.07,0.974,0.875,3.56,2.6,1.67,0.182,0.251,2.39,0.743,0.483,3.15,2.58,1.36,0.129,0.17,2.62,0.827,0.828,3.24,3.22,1.68
0.15521884,0.203229129,2.782857895,1.016182423,0.943279624,3.357218027,2.473478794,1.637789249,0.169,0.232,2.78,0.931,0.864,3.61,2.62,1.6,0.177,0.252,2.26,0.72,0.44,3.04,2.63,1.39,0.124,0.168,2.56,0.787,0.747,3.22,3.21,1.65
0.162150219,0.225696668,2.684527874,0.982294381,0.875017464,3.334414005,2.425668716,1.642042279,0.176,0.248,2.78,0.893,0.688,3.59,2.69,1.52,0.175,0.257,2.2,0.694,0.401,2.94,2.71,1.44,0.121,0.164,2.46,0.771,0.72,3.27,3.45,1.62
0.168376952,0.233697042,2.668348551,0.926701427,0.780932248,3.301936626,2.378735781,1.598475456,0.17,0.249,2.71,0.86,0.65,3.54,2.77,1.59,0.182,0.264,2.15,0.67,0.372,2.94,2.68,1.41,0.137,0.186,2.38,0.74,0.638,3.14,2.97,1.71
0.153946489,0.220122814,2.698664904,0.897896111,0.696359754,3.292412996,2.493680954,1.572402239,0.173,0.24,2.59,0.827,0.563,3.55,2.79,1.59,0.177,0.249,2.07,0.646,0.322,2.9,2.74,1.44,0.123,0.173,2.43,0.728,0.626,3.33,3.39,1.66
0.171707317,0.227126658,2.700745821,0.86892879,0.678793192,3.398959637,2.434229374,1.579604626,0.175,0.248,2.69,0.788,0.564,3.42,2.76,1.64,0.168,0.241,2.02,0.607,0.297,2.86,2.74,1.42,0.128,0.177,2.46,0.708,0.607,3.29,3.34,1.65
0.175843313,0.241228685,2.392392397,0.841164708,0.600949109,3.305066586,2.414755106,1.573058009,0.173,0.244,2.48,0.761,0.462,3.44,2.82,1.81,0.176,0.254,2.02,0.604,0.295,2.89,2.8,1.51,0.138,0.195,2.39,0.681,0.554,3.24,3.2,1.63
0.163674653,0.229801506,2.385490656,0.813839257,0.530059397,3.186612129,2.495901108,1.599636793,0.163,0.235,2.44,0.733,0.452,3.35,2.92,1.78,0.174,0.247,1.89,0.589,0.271,2.87,2.8,1.46,0.109,0.144,2.35,0.662,0.502,3.2,3.81,1.78
0.182345927,0.254980415,2.350604296,0.794989884,0.497360796,3.034559727,2.543646097,1.534823179,0.165,0.246,2.28,0.722,0.439,3.37,2.94,1.86,0.175,0.249,1.89,0.569,0.26,2.78,2.9,1.49,0.107,0.146,2.31,0.65,0.461,3.39,4.51,1.93
0.179983631,0.25041768,2.273654699,0.759792268,0.477062583,3.119112253,2.517650127,1.606000185,0.161,0.24,2.34,0.691,0.351,3.48,3.05,1.68,0.17,0.24,1.82,0.552,0.254,3,2.98,1.51,0.123,0.177,2.2,0.637,0.431,3.26,3.85,1.73
