no_aug_map 0.5,no_aug_map 0.5:0.95,no_aug_train_giou_loss,no_aug_train_obj_loss,no_aug_train_cls_loss,no_aug_val_giou_loss,no_aug_val_obj_loss,no_aug_val_cls_loss,aug1_map 0.5,aug1_map 0.5:0.95,aug1_train_giou_loss,aug1_train_obj_loss,aug1_train_cls_loss,aug1_val_giou_loss,aug1_val_obj_loss,aug1_val_cls_loss,aug2_map 0.5,aug2_map 0.5:0.95,aug2_train_giou_loss,aug2_train_obj_loss,aug2_train_cls_loss,aug2_val_giou_loss,aug2_val_obj_loss,aug2_val_cls_loss,aug3_map 0.5,aug3_map 0.5:0.95,aug3_train_giou_loss,aug3_train_obj_loss,aug3_train_cls_loss,aug3_val_giou_loss,aug3_val_obj_loss,aug3_val_cls_loss
4.21E-05,6.88E-06,0.1715,0.04664,0.0441,0.1585,0.09385,0.04086,5.20E-03,1.08E-03,0.1627,0.05334,0.0411,0.1486,0.1021,0.03481,6.42E-03,1.27E-03,0.1611,0.05593,0.04098,0.1475,0.1059,0.03456,3.21E-03,5.49E-04,0.1632,0.038,0.04057,0.1484,0.1033,0.03397
0.003064,0.0005192,0.1526,0.06289,0.03786,0.1481,0.1048,0.03482,0.0357,0.008274,0.1438,0.07633,0.03448,0.1412,0.1314,0.03103,0.03822,0.009313,0.1426,0.07894,0.03426,0.1401,0.1369,0.03068,0.03141,0.007469,0.1453,0.05336,0.0324,0.1417,0.13,0.0296
0.01801,0.003784,0.1454,0.07088,0.03454,0.1441,0.1175,0.03276,0.05383,0.01851,0.138,0.09294,0.03213,0.1369,0.1532,0.02913,0.05412,0.0191,0.1365,0.0964,0.03164,0.1357,0.1595,0.02875,0.04674,0.01442,0.1394,0.06625,0.02865,0.1372,0.155,0.02853
0.03397,0.008524,0.1414,0.08113,0.03286,0.1406,0.1357,0.03052,0.05627,0.01796,0.1351,0.09902,0.03076,0.1359,0.16,0.0284,0.06098,0.02035,0.1337,0.102,0.03023,0.1344,0.1686,0.02811,0.047,0.01424,0.1367,0.07255,0.02746,0.1368,0.162,0.02811
0.0445,0.01351,0.138,0.09002,0.03109,0.1383,0.1477,0.02968,0.05641,0.01807,0.1341,0.1015,0.02976,0.1355,0.1674,0.02838,0.05593,0.01437,0.1324,0.1023,0.02917,0.1348,0.1662,0.02781,0.05691,0.0168,0.1346,0.07529,0.02699,0.1363,0.1632,0.02776
0.05843,0.01995,0.1353,0.09448,0.02987,0.1365,0.1554,0.0289,0.06285,0.02142,0.1331,0.1031,0.02899,0.1352,0.1648,0.02784,0.06391,0.01944,0.1314,0.1035,0.02841,0.1337,0.1699,0.02727,0.05855,0.01936,0.1341,0.07402,0.02626,0.1354,0.1658,0.02818
0.06461,0.02318,0.1337,0.09588,0.0287,0.1356,0.1582,0.02852,0.06863,0.02221,0.1325,0.09667,0.02835,0.1351,0.1632,0.02788,0.07205,0.02517,0.1297,0.1011,0.02748,0.1333,0.1699,0.02678,0.06868,0.02245,0.1316,0.0746,0.02554,0.1349,0.1667,0.02839
0.06132,0.02094,0.133,0.09624,0.0278,0.1357,0.1615,0.02817,0.0746,0.02545,0.1297,0.09628,0.02788,0.1342,0.1678,0.02772,0.07542,0.02594,0.1278,0.09859,0.02644,0.1328,0.174,0.02675,0.07863,0.02895,0.1297,0.07357,0.0247,0.1339,0.1703,0.02639
0.04966,0.01439,0.1316,0.09678,0.02702,0.1391,0.155,0.02716,0.07317,0.02622,0.1281,0.09631,0.02709,0.1338,0.1699,0.02716,0.07735,0.02771,0.1267,0.09867,0.02603,0.1329,0.173,0.02631,0.07874,0.02937,0.129,0.07331,0.02406,0.1341,0.1734,0.02815
0.06031,0.01996,0.1328,0.1031,0.02668,0.1358,0.1674,0.02757,0.07653,0.02903,0.1275,0.09561,0.02619,0.1336,0.1753,0.02666,0.07885,0.02883,0.1265,0.09769,0.02542,0.1327,0.1736,0.02671,0.08221,0.03142,0.1282,0.07262,0.02345,0.134,0.1748,0.02668
