no_aug_map 0.5,no_aug_map 0.5:0.95,no_aug_train_giou_loss,no_aug_train_obj_loss,no_aug_train_cls_loss,no_aug_val_giou_loss,no_aug_val_obj_loss,no_aug_val_cls_loss,aug1_map 0.5,aug1_map 0.5:0.95,aug1_train_giou_loss,aug1_train_obj_loss,aug1_train_cls_loss,aug1_val_giou_loss,aug1_val_obj_loss,aug1_val_cls_loss,aug2_map 0.5,aug2_map 0.5:0.95,aug2_train_giou_loss,aug2_train_obj_loss,aug2_train_cls_loss,aug2_val_giou_loss,aug2_val_obj_loss,aug2_val_cls_loss,aug3_map 0.5,aug3_map 0.5:0.95,aug3_train_giou_loss,aug3_train_obj_loss,aug3_train_cls_loss,aug3_val_giou_loss,aug3_val_obj_loss,aug3_val_cls_loss,"aug(3,4)_map 0.5","aug(3,4)_map 0.5:0.95","aug(3,4)_train_giou_loss","aug(3,4)_train_obj_loss","aug(3,4)_train_cls_loss","aug(3,4)_val_giou_loss","aug(3,4)_val_obj_loss","aug(3,4)_val_cls_loss"
3.83E-05,6.27E-06,0.1725,0.06946,0.04421,0.1609,0.0851,0.0419,2.06E-03,4.98E-04,0.1642,0.07989,0.04164,0.1505,0.09502,0.03634,2.37E-03,4.37E-04,0.1643,0.07961,0.04158,0.1506,0.09376,0.03628,1.00E-03,1.60E-04,0.1671,0.05421,0.04151,0.1514,0.09291,0.03576,7.23E-03,1.34E-03,0.08811,0.0289,0.01438,0.07773,0.01681,0.01345
0.001694,0.0003282,0.1559,0.09067,0.03905,0.1503,0.09529,0.03621,0.03089,0.00688,0.1484,0.1025,0.03375,0.1426,0.1187,0.03038,0.0366,0.009269,0.1484,0.1023,0.03348,0.1426,0.117,0.03024,0.01716,0.00334,0.1501,0.07284,0.03267,0.1439,0.1147,0.02942,0.0632,0.02381,0.07725,0.03452,0.01246,0.0667,0.01956,0.01172
0.007406,0.001272,0.1498,0.09752,0.03432,0.146,0.1058,0.03343,0.05414,0.01607,0.1433,0.1268,0.02955,0.1374,0.1409,0.02769,0.05597,0.0166,0.1432,0.1259,0.02916,0.1375,0.1385,0.02782,0.04659,0.0125,0.1453,0.08952,0.02838,0.1398,0.1339,0.02766,0.08818,0.02897,0.07076,0.04201,0.01101,0.06297,0.02088,0.01078
0.03318,0.007827,0.1462,0.1132,0.03208,0.1422,0.1207,0.03055,0.07245,0.02532,0.1398,0.1473,0.02775,0.134,0.1555,0.02664,0.06627,0.02293,0.1395,0.1468,0.02741,0.134,0.1526,0.02654,0.05792,0.01682,0.1419,0.1027,0.02672,0.1366,0.1508,0.02683,0.115,0.04315,0.06839,0.04626,0.01029,0.06044,0.02058,0.01019
0.04789,0.01355,0.1427,0.1241,0.02959,0.1392,0.1329,0.02893,0.07905,0.02906,0.1379,0.1572,0.02715,0.1326,0.161,0.0265,0.07689,0.02837,0.1377,0.156,0.02678,0.1326,0.1586,0.0261,0.06974,0.02244,0.1402,0.112,0.02603,0.1346,0.1584,0.02634,0.1322,0.04744,0.06605,0.04513,0.009725,0.05916,0.02071,0.009878
0.06149,0.02002,0.1407,0.137,0.02814,0.1368,0.1427,0.02758,0.09253,0.03347,0.1373,0.1579,0.02649,0.1316,0.1613,0.02569,0.08608,0.03165,0.1373,0.1576,0.02621,0.1318,0.159,0.02605,0.06659,0.02095,0.1396,0.1151,0.02545,0.1344,0.1578,0.02611,0.1432,0.05367,0.06507,0.04493,0.00936,0.05839,0.02067,0.009672
0.0654,0.02237,0.1395,0.1456,0.02765,0.1347,0.151,0.02695,0.09768,0.03806,0.1362,0.1557,0.02617,0.1303,0.1649,0.02575,0.0949,0.03541,0.136,0.1551,0.02595,0.1309,0.1638,0.02553,0.09215,0.03406,0.1387,0.1133,0.02511,0.1327,0.162,0.0258,0.1521,0.05708,0.06398,0.04391,0.009151,0.05812,0.02059,0.009477
0.07499,0.02677,0.1378,0.1554,0.02724,0.1339,0.1549,0.02674,0.1021,0.03877,0.1358,0.1634,0.02596,0.1298,0.1676,0.02521,0.106,0.04203,0.1355,0.1627,0.02552,0.1298,0.1665,0.02509,0.09847,0.036,0.1379,0.1207,0.0247,0.1325,0.1641,0.02601,0.1618,0.06174,0.06321,0.04347,0.008941,0.05744,0.02058,0.009343
0.04645,0.009912,0.1373,0.1534,0.02662,0.1367,0.1537,0.02612,0.1094,0.04149,0.1354,0.1604,0.02558,0.1292,0.1696,0.02492,0.1121,0.04443,0.1348,0.1606,0.02519,0.1292,0.1666,0.025,0.09819,0.03652,0.1372,0.118,0.02435,0.132,0.1666,0.02541,0.1652,0.06635,0.06247,0.04319,0.008804,0.05742,0.0205,0.009209
0.0783,0.02599,0.137,0.1625,0.0262,0.1329,0.159,0.026,0.1122,0.04411,0.1345,0.1629,0.02516,0.1293,0.169,0.02513,0.114,0.04635,0.1341,0.1633,0.02479,0.1289,0.1671,0.02496,0.09778,0.0353,0.1363,0.1205,0.02392,0.1318,0.164,0.02515,0.1695,0.07093,0.06157,0.04318,0.008663,0.05716,0.02058,0.009127
